# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.24347 2.21743 1721.9 1728.51 0.249926
1000 2.22849 2.17189 1725.22 1731.1 0.249552
1500 2.27404 2.17959 1683.51 1735.98 0.248851
2000 2.19887 2.20447 1714.31 1743.11 0.247833
2500 2.20731 2.12838 1685.53 1752.58 0.246495
3000 2.1632 2.14485 1685.11 1764.3 0.244857
3500 2.18666 2.02189 1637.35 1778.13 0.242954
4000 2.11837 2.01484 1645.18 1793.74 0.240839
4500 2.08958 1.92133 1625.03 1810.86 0.238563
5000 2.0959 1.85668 1580.83 1829.07 0.236187
5500 2.07132 1.83689 1554.98 1848 0.233768
6000 2.02189 1.84505 1545.31 1867.26 0.231357
6500 1.99534 1.74284 1521.14 1886.52 0.228994
7000 1.97412 1.68948 1495.52 1905.42 0.226724
7500 1.92706 1.65957 1488.11 1923.64 0.224575
8000 1.9315 1.57043 1449.6 1941.07 0.222559
8500 1.86747 1.61349 1457.96 1957.51 0.220689
9000 1.90755 1.57322 1400.47 1973.02 0.218955
9500 1.86828 1.54191 1396.45 1987.72 0.217336
10000 1.83981 1.4619 1387.94 2001.57 0.215831
10500 1.82725 1.48245 1370.5 2014.59 0.214436
11000 1.80611 1.43409 1360.05 2026.97 0.213126
11500 1.81126 1.4577 1333.95 2038.75 0.211895
12000 1.76526 1.43926 1341.64 2050.09 0.210723
12500 1.72301 1.37048 1348.38 2061.06 0.209602
13000 1.72188 1.36704 1329.71 2071.51 0.208544
13500 1.66494 1.36738 1348.07 2081.46 0.207547
14000 1.7082 1.34299 1302.31 2090.98 0.206602
14500 1.67312 1.32046 1308.22 2100.08 0.205707
15000 1.71135 1.30889 1267.21 2108.66 0.204869
15500 1.6714 1.30804 1277.53 2116.85 0.204077
16000 1.65639 1.26572 1272.52 2124.56 0.203336
16500 1.66397 1.2845 1253.21 2131.81 0.202645
17000 1.61817 1.26915 1269.32 2138.62 0.202
17500 1.57774 1.252 1282.59 2144.95 0.201404
18000 1.61915 1.26043 1243.37 2150.8 0.200855
18500 1.59925 1.28194 1244.26 2156.26 0.200347
19000 1.54182 1.25429 1269.92 2161.38 0.199873
19500 1.55376 1.22261 1251.44 2166.08 0.199439
20000 1.56713 1.209 1232.57 2170.24 0.199056
20500 1.56146 1.19729 1226.68 2173.85 0.198726
21000 1.5676 1.24259 1213.29 2176.99 0.198439
21500 1.53346 1.19606 1226.99 2179.66 0.198196
22000 1.5249 1.18771 1224.69 2181.77 0.198005
22500 1.5446 1.19548 1204.57 2183.32 0.197864
23000 1.54407 1.22647 1197.93 2184.4 0.197766
23500 1.47262 1.2088 1237.92 2185.06 0.197706
24000 1.53998 1.16903 1188.53 2185.28 0.197686
24500 1.53618 1.19444 1185.6 2185.02 0.19771
25000 1.52702 1.20442 1186.67 2184.34 0.197771
25500 1.48735 1.18695 1208.03 2183.27 0.197868
26000 1.51066 1.15975 1189.18 2181.78 0.198003
26500 1.45833 1.18719 1219.6 2179.84 0.19818
27000 1.47488 1.18532 1205.91 2177.52 0.198391
27500 1.52737 1.18144 1169.4 2174.79 0.19864
28000 1.47597 1.18276 1200.54 2171.69 0.198924
28500 1.50717 1.19447 1178.66 2168.22 0.199242
29000 1.51207 1.16303 1174.18 2164.46 0.199588
29500 1.47823 1.18029 1195.12 2160.34 0.199968
30000 1.4831 1.18902 1191.51 2155.93 0.200377
30500 1.45317 1.17175 1210.64 2151.28 0.200811
31000 1.44546 1.21341 1215.54 2146.31 0.201276
31500 1.46446 1.21067 1203.69 2141.14 0.201762
32000 1.51316 1.20677 1172.76 2135.84 0.202262
32500 1.4821 1.1529 1193.52 2130.37 0.202782
33000 1.48622 1.21948 1191.65 2124.66 0.203327
33500 1.48666 1.2286 1192.57 2118.88 0.203881
34000 1.42956 1.2326 1230.81 2113.11 0.204438
34500 1.39685 1.20799 1253.47 2107.31 0.205001
35000 1.46104 1.22702 1213.13 2101.43 0.205574
35500 1.44799 1.22444 1222.99 2095.54 0.206152
36000 1.46384 1.26659 1214.14 2089.63 0.206736
36500 1.41701 1.20396 1246.18 2083.83 0.207311
37000 1.43301 1.24725 1236.92 2078.07 0.207886
37500 1.42556 1.20763 1243.34 2072.36 0.208458
38000 1.45474 1.22638 1225.38 2066.67 0.209032
38500 1.42324 1.30605 1246.78 2061.06 0.209601
39000 1.40758 1.27113 1258.26 2055.68 0.21015
39500 1.40758 1.28018 1259.08 2050.5 0.210681
40000 1.39743 1.34317 1266.17 2045.54 0.211192
40500 1.41455 1.26689 1255.74 2040.89 0.211672
41000 1.37512 1.30151 1281.04 2036.44 0.212135
41500 1.39733 1.28065 1266.65 2032.17 0.21258
42000 1.39336 1.30292 1268.68 2028.11 0.213006
42500 1.41411 1.32991 1254.42 2024.3 0.213407
43000 1.39158 1.30834 1267.99 2020.75 0.213782
43500 1.40743 1.29867 1256.41 2017.43 0.214134
44000 1.38683 1.32381 1267.96 2014.32 0.214464
44500 1.40772 1.26649 1252.56 2011.39 0.214776
45000 1.38973 1.32227 1261.82 2008.56 0.21508
45500 1.37549 1.3599 1268.68 2005.94 0.215361
46000 1.39187 1.28933 1255.78 2003.56 0.215616
46500 1.39392 1.30185 1251.36 2001.3 0.21586
47000 1.39646 1.26657 1246.78 1999.13 0.216094
47500 1.43197 1.32109 1220.39 1997.02 0.216322
48000 1.3629 1.27222 1262.07 1994.99 0.216543
48500 1.32072 1.31988 1286.23 1993.02 0.216757
49000 1.32313 1.32117 1281.55 1991.16 0.216959
49500 1.33415 1.31359 1270.99 1989.44 0.217146
50000 1.354 1.30447 1254.56 1987.87 0.217318
50500 1.36648 1.30321 1242.81 1986.39 0.21748
51000 1.385 1.34294 1226.62 1985.04 0.217628
51500 1.33272 1.33359 1256.27 1983.87 0.217757
52000 1.35331 1.2655 1238.8 1982.82 0.217871
52500 1.34198 1.34277 1241.56 1981.83 0.21798
53000 1.30963 1.25966 1258.34 1980.96 0.218076
53500 1.33069 1.29153 1240.08 1980.05 0.218177
54000 1.31281 1.32207 1247.07 1979.2 0.21827
54500 1.2759 1.2951 1266.62 1978.45 0.218352
55000 1.28426 1.31776 1256.74 1977.69 0.218437
55500 1.27876 1.32096 1255.72 1976.99 0.218514
56000 1.28182 1.33944 1249.02 1976.4 0.21858
56500 1.28439 1.31272 1242.64 1975.95 0.218629
57000 1.30387 1.34921 1224.78 1975.64 0.218664
57500 1.27677 1.322 1237.14 1975.47 0.218683
58000 1.24462 1.29361 1252.9 1975.37 0.218693
58500 1.28991 1.27238 1218.34 1975.25 0.218706
59000 1.27992 1.25987 1219.61 1975.07 0.218726
59500 1.23048 1.31483 1246.5 1974.84 0.218752
60000 1.2809 1.32015 1208.64 1974.67 0.218771
60500 1.25563 1.31115 1219.7 1974.53 0.218786
61000 1.24076 1.29955 1224.31 1974.36 0.218805
61500 1.23565 1.27127 1222.7 1974.17 0.218826
62000 1.25048 1.28524 1208.07 1973.91 0.218855
62500 1.22021 1.30648 1222.63 1973.64 0.218885
63000 1.21771 1.27731 1219.57 1973.36 0.218916
63500 1.20441 1.26533 1223.4 1973.03 0.218953
64000 1.19634 1.24756 1224 1972.62 0.218998
64500 1.21456 1.24172 1207.82 1972.05 0.219062
65000 1.21441 1.28317 1203.49 1971.31 0.219143
65500 1.22559 1.2586 1192.18 1970.48 0.219235
66000 1.21788 1.23204 1193.07 1969.55 0.21934
66500 1.24968 1.21525 1168.67 1968.4 0.219467
67000 1.21813 1.22703 1185.27 1967.05 0.219618
67500 1.2112 1.17373 1186.8 1965.46 0.219795
68000 1.21741 1.23267 1179.77 1963.61 0.220003
68500 1.17791 1.22677 1202.67 1961.62 0.220227
69000 1.18383 1.29557 1196.3 1959.5 0.220465
69500 1.13866 1.24845 1223.52 1957.31 0.220711
70000 1.19124 1.28987 1187.19 1955.08 0.220963
70500 1.14985 1.26762 1211.94 1952.87 0.221213
71000 1.14423 1.28494 1213.46 1950.62 0.221468
71500 1.13861 1.28367 1215.07 1948.37 0.221724
72000 1.15822 1.25445 1200.4 1946.11 0.221981
72500 1.14598 1.26852 1206.21 1943.81 0.222244
73000 1.1349 1.34311 1211.32 1941.51 0.222507
73500 1.17112 1.27647 1185.99 1939.32 0.222758
74000 1.17382 1.28865 1181.81 1937.18 0.223004
74500 1.11133 1.26281 1220.26 1935.07 0.223247
75000 1.1165 1.30529 1214.71 1932.96 0.223491
75500 1.09906 1.26568 1224.17 1930.88 0.223732
76000 1.10613 1.29525 1217.46 1928.81 0.223973
76500 1.12112 1.25545 1205.67 1926.75 0.224212
77000 1.09601 1.25256 1219.8 1924.63 0.224459
77500 1.11225 1.28544 1207.29 1922.38 0.224721
78000 1.11468 1.27383 1203.96 1920.15 0.224983
78500 1.1174 1.26865 1200.15 1917.94 0.225242
79000 1.12772 1.30194 1191.54 1915.73 0.225501
79500 1.10687 1.28936 1203.11 1913.58 0.225755
80000 1.05769 1.26284 1233.09 1911.5 0.226001
