# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.54154 2.36924 1788.8 1728.04 0.249994
1000 2.57878 2.33352 1763.97 1728.26 0.249962
1500 2.52793 2.38983 1795.03 1728.69 0.2499
2000 2.58939 2.31748 1753.05 1729.34 0.249806
2500 2.61533 2.38015 1732.98 1730.2 0.249682
3000 2.58245 2.3312 1750.45 1731.3 0.249524
3500 2.59806 2.33801 1735.57 1732.6 0.249337
4000 2.56819 2.29325 1749.55 1734.11 0.24912
4500 2.52215 2.29585 1773.17 1735.81 0.248875
5000 2.57527 2.30005 1732.01 1737.69 0.248606
5500 2.54196 2.25141 1746.27 1739.75 0.248312
6000 2.49762 2.2922 1766.85 1741.96 0.247997
6500 2.48459 2.26172 1767.05 1744.3 0.247664
7000 2.50411 2.35983 1744.98 1746.78 0.247312
7500 2.48612 2.32902 1746.89 1749.46 0.246934
8000 2.48246 2.28782 1738.92 1752.33 0.246529
8500 2.46763 2.24373 1737.67 1755.37 0.246102
9000 2.46054 2.26039 1730.73 1758.53 0.245659
9500 2.43277 2.19177 1737.25 1761.83 0.2452
10000 2.39479 2.30371 1749.57 1765.22 0.244729
10500 2.44805 2.20997 1702.66 1768.73 0.244243
11000 2.44638 2.11394 1691.34 1772.34 0.243745
11500 2.47942 2.11382 1656.96 1775.99 0.243244
12000 2.43558 2.08638 1672.83 1779.65 0.242744
12500 2.36415 2.12078 1706.42 1783.27 0.242251
13000 2.42217 2.11971 1656.13 1786.89 0.241761
13500 2.34506 2.1251 1693.26 1790.52 0.241271
14000 2.35124 2.1387 1676.48 1794.14 0.240783
14500 2.3596 2.09499 1658.3 1797.78 0.240296
15000 2.28107 2.08085 1696.66 1801.4 0.239814
15500 2.34538 2.03662 1642.91 1804.96 0.239341
16000 2.34512 2.05817 1630.85 1808.43 0.238881
16500 2.29949 2.0318 1648.79 1811.84 0.238432
17000 2.33262 2.06424 1615.72 1815.15 0.237996
17500 2.28203 2.01366 1637.43 1818.4 0.237571
18000 2.27484 2.03325 1631.14 1821.54 0.237161
18500 2.25166 2.01943 1635.4 1824.6 0.236765
19000 2.27785 1.99009 1608.32 1827.53 0.236384
19500 2.24985 1.89201 1616.97 1830.31 0.236026
20000 2.24984 1.99013 1607.55 1832.88 0.235694
20500 2.24012 1.93466 1605.15 1835.31 0.235383
21000 2.24806 1.92436 1591.56 1837.57 0.235093
21500 2.2395 1.92334 1589.08 1839.64 0.234828
22000 2.16428 1.98912 1629.85 1841.56 0.234584
22500 2.21064 1.94532 1592.76 1843.31 0.234361
23000 2.21426 1.99512 1583.23 1844.89 0.23416
23500 2.17018 1.92191 1605.41 1846.33 0.233978
24000 2.20944 1.90004 1573.8 1847.58 0.233819
24500 2.14496 1.94068 1609.77 1848.62 0.233688
25000 2.14506 1.89029 1604.66 1849.47 0.233581
25500 2.11006 1.94331 1622.14 1850.11 0.233499
26000 2.1208 1.94702 1610.67 1850.57 0.233441
26500 2.13553 1.94451 1597.01 1850.87 0.233404
27000 2.14043 1.9257 1589.92 1851 0.233388
27500 2.17273 1.92316 1565.24 1850.95 0.233393
28000 2.17988 1.85222 1557.47 1850.72 0.233422
28500 2.18875 1.84561 1548.67 1850.28 0.233478
29000 2.14743 1.86808 1572.67 1849.6 0.233564
29500 2.11859 1.85866 1589.34 1848.7 0.233678
30000 2.22149 1.83819 1520.83 1847.57 0.23382
30500 2.1726 1.84412 1550.95 1846.22 0.233992
31000 2.13251 1.8545 1575.91 1844.65 0.234191
31500 2.08407 1.84515 1606.69 1842.89 0.234415
32000 2.12106 1.92293 1582.05 1840.91 0.234666
32500 2.12288 1.86382 1581.24 1838.75 0.234942
33000 2.14482 1.93951 1567.05 1836.46 0.235235
33500 2.06853 1.86914 1617.22 1834.02 0.235548
34000 2.09803 2.02009 1598.39 1831.41 0.235884
34500 2.1015 1.91724 1597.46 1828.7 0.236234
35000 2.12739 1.90854 1581.96 1825.86 0.236601
35500 2.09087 1.96975 1606.79 1822.89 0.236987
36000 2.10503 1.9724 1599.44 1819.81 0.237388
36500 2.10798 1.92892 1599.53 1816.65 0.2378
37000 2.12505 1.94631 1590.23 1813.41 0.238225
37500 2.09716 1.97929 1610.11 1810.09 0.238663
38000 2.07284 1.90845 1628.37 1806.69 0.239111
38500 2.12367 1.98852 1597.45 1803.21 0.239573
39000 2.11912 1.9676 1602.88 1799.66 0.240045
39500 2.09761 2.03093 1619.2 1796.08 0.240524
40000 2.05667 2.01884 1648.42 1792.48 0.241007
40500 2.11083 2.02826 1615.96 1788.87 0.241493
41000 2.10241 2.00025 1624.11 1785.27 0.24198
41500 2.10291 2.04034 1626.17 1781.66 0.242471
42000 2.1147 2.07037 1621.15 1778.07 0.24296
42500 2.09833 2.00376 1634.42 1774.51 0.243447
43000 2.10233 2.00226 1634.34 1770.97 0.243935
43500 2.07589 2.01028 1653.67 1767.41 0.244425
44000 2.01765 2.01649 1693.84 1763.85 0.244919
44500 2.0764 2.00029 1658.4 1760.28 0.245415
45000 2.06883 2.06643 1665.69 1756.75 0.245909
45500 2.07398 2.03217 1664.71 1753.26 0.246399
46000 2.08876 2.05572 1657.36 1749.79 0.246887
46500 2.14125 1.99791 1625.63 1746.36 0.247372
47000 2.10729 2.09068 1649.58 1742.97 0.247852
47500 2.06776 2.02789 1677.37 1739.66 0.248324
48000 2.09048 2.07449 1664.45 1736.4 0.24879
48500 2.05894 2.11655 1686.67 1733.21 0.249248
49000 2.09646 2.10323 1664.01 1730.1 0.249696
49500 2.03695 2.1063 1704.09 1727.07 0.250134
50000 2.06662 2.12761 1686.18 1724.12 0.250562
50500 2.067 2.12534 1687.17 1721.27 0.250978
51000 2.08525 2.13913 1676.25 1718.52 0.251379
51500 2.05149 2.11513 1699.02 1715.86 0.25177
52000 2.04751 2.12652 1702.17 1713.28 0.252148
52500 2.02214 2.19613 1718.9 1710.8 0.252514
53000 2.07226 2.19867 1686.55 1708.42 0.252865
53500 2.05098 2.1424 1700.52 1706.16 0.2532
54000 2.07466 2.13379 1684.91 1704 0.253521
