# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.41823 2.30208 1738.99 1728.21 0.24997
1000 2.36649 2.2862 1769.68 1729.3 0.249812
1500 2.396 2.23201 1744.96 1731.41 0.249507
2000 2.44287 2.26164 1706.37 1734.5 0.249063
2500 2.40177 2.23665 1722.26 1738.59 0.248477
3000 2.42871 2.21451 1691.41 1743.67 0.247753
3500 2.35022 2.17768 1726.93 1749.69 0.246902
4000 2.34337 2.18063 1713.64 1756.58 0.245933
4500 2.36613 2.23068 1678.63 1764.36 0.244848
5000 2.36487 2.11949 1657.74 1773.02 0.243652
5500 2.31022 2.06297 1670.05 1782.44 0.242365
6000 2.28305 2.07952 1662.51 1792.53 0.241
6500 2.29494 2.00376 1628.41 1803.26 0.239567
7000 2.26657 1.96767 1619.76 1814.52 0.23808
7500 2.28575 2.01724 1579.02 1826.2 0.236558
8000 2.26303 1.92511 1565.04 1838.2 0.235013
8500 2.20902 1.88164 1571.88 1850.4 0.233463
9000 2.17127 1.88218 1567.87 1862.65 0.231929
9500 2.16327 1.86933 1544.64 1874.89 0.230415
10000 2.11824 1.8216 1546.04 1887.01 0.228934
10500 2.11719 1.7482 1519.89 1898.94 0.227497
11000 2.08854 1.75729 1512.48 1910.54 0.226115
11500 2.03865 1.70265 1520.3 1921.75 0.224796
12000 2.0187 1.69397 1509.87 1932.49 0.223546
12500 2.01226 1.71738 1491.28 1942.79 0.222361
13000 1.96474 1.68278 1500.23 1952.68 0.221234
13500 1.98988 1.59886 1463.54 1962.17 0.220165
14000 1.99787 1.60057 1439.14 1971.15 0.219161
14500 1.98147 1.583 1431.3 1979.68 0.218217
15000 1.90348 1.57439 1464.67 1987.78 0.217328
15500 1.89656 1.64423 1452.45 1995.43 0.216495
16000 1.87751 1.57481 1448.94 2002.77 0.215701
16500 1.89363 1.5581 1423.55 2009.79 0.214948
17000 1.94063 1.49102 1378.92 2016.47 0.214236
17500 1.96504 1.49948 1349.2 2022.82 0.213563
18000 1.88724 1.48666 1386.63 2028.84 0.212929
18500 1.88822 1.49612 1373.63 2034.52 0.212335
19000 1.88187 1.49231 1365.83 2039.92 0.211773
19500 1.84778 1.43729 1376.66 2045.06 0.211241
20000 1.82067 1.45163 1383.61 2049.87 0.210745
20500 1.85655 1.48432 1350.1 2054.39 0.210282
21000 1.84495 1.43882 1347.51 2058.7 0.209841
21500 1.85157 1.43949 1333.6 2062.76 0.209428
22000 1.81542 1.45744 1347.76 2066.58 0.209041
22500 1.80263 1.44184 1347.04 2070.2 0.208675
23000 1.80639 1.3771 1336.31 2073.59 0.208334
23500 1.82057 1.36762 1319.04 2076.68 0.208024
24000 1.81751 1.37595 1313.35 2079.45 0.207747
24500 1.79634 1.37085 1319.94 2081.9 0.207502
25000 1.80058 1.40445 1310.28 2084.05 0.207289
25500 1.74808 1.38703 1337.81 2085.92 0.207103
26000 1.74017 1.39975 1336.9 2087.55 0.206942
26500 1.75684 1.39072 1320.24 2088.91 0.206806
27000 1.78282 1.38042 1297.83 2090.04 0.206694
27500 1.77759 1.36166 1296.13 2090.9 0.206609
28000 1.72052 1.36494 1328.27 2091.49 0.206551
28500 1.70621 1.36201 1333.05 2091.83 0.206518
29000 1.6867 1.32502 1341.85 2091.88 0.206513
29500 1.7099 1.38738 1322.84 2091.67 0.206534
30000 1.67453 1.335 1342.59 2091.23 0.206577
30500 1.68808 1.41686 1330.4 2090.51 0.206648
31000 1.7438 1.36003 1291.54 2089.58 0.206741
31500 1.70174 1.34036 1316.16 2088.42 0.206855
32000 1.68964 1.34996 1321.53 2087.01 0.206995
32500 1.75097 1.33431 1279.79 2085.34 0.20716
33000 1.71174 1.34567 1303.44 2083.41 0.207352
33500 1.70725 1.38311 1304.79 2081.25 0.207567
34000 1.72317 1.34107 1293.51 2078.92 0.2078
34500 1.70462 1.30394 1304.71 2076.35 0.208057
35000 1.67185 1.37165 1325.14 2073.5 0.208343
35500 1.68093 1.3621 1319.14 2070.47 0.208649
36000 1.66845 1.33697 1327.19 2067.25 0.208973
36500 1.70361 1.35885 1304.64 2063.85 0.209317
37000 1.68925 1.40347 1314.12 2060.29 0.20968
37500 1.68831 1.36007 1315.67 2056.6 0.210055
38000 1.66087 1.42126 1334 2052.78 0.210446
38500 1.65455 1.37738 1339.25 2048.87 0.210848
39000 1.68048 1.43163 1323.39 2044.88 0.211259
39500 1.68101 1.40968 1324.31 2040.84 0.211678
40000 1.65498 1.37878 1342.5 2036.72 0.212105
40500 1.66744 1.41428 1335.75 2032.51 0.212545
41000 1.679 1.44284 1329.79 2028.25 0.212991
41500 1.66912 1.3888 1337.75 2023.98 0.213441
42000 1.68192 1.41986 1330.84 2019.66 0.213897
42500 1.68127 1.42967 1332.73 2015.32 0.214358
43000 1.66933 1.35068 1342.34 2010.91 0.214828
43500 1.68114 1.4098 1336.1 2006.43 0.215308
44000 1.67356 1.39118 1342.83 2001.91 0.215794
44500 1.65541 1.41696 1356.44 1997.37 0.216285
45000 1.62274 1.49249 1379.33 1992.83 0.216778
45500 1.62068 1.43227 1382.87 1988.34 0.217267
46000 1.68615 1.48254 1342.27 1983.92 0.217751
46500 1.68834 1.4606 1342.49 1979.59 0.218227
47000 1.64295 1.45717 1373.47 1975.34 0.218696
47500 1.6595 1.44939 1364.23 1971.17 0.219159
48000 1.62055 1.4735 1390.95 1967.07 0.219616
