# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.54141 2.3688 1788.66 1728.13 0.249981
1000 2.57775 2.33131 1763.31 1728.83 0.24988
1500 2.52471 2.39268 1793.66 1730.17 0.249687
2000 2.59001 2.31206 1746.03 1732.16 0.2494
2500 2.53282 2.33076 1775.95 1734.79 0.249022
3000 2.53479 2.33701 1765.69 1738.05 0.248555
3500 2.54113 2.27672 1751.15 1741.94 0.248
4000 2.50021 2.28499 1765.78 1746.4 0.247366
4500 2.47741 2.29197 1766.9 1751.46 0.246652
5000 2.50259 2.295 1735.24 1757.11 0.245858
5500 2.52244 2.19294 1705.83 1763.36 0.244987
6000 2.5128 2.23613 1693.82 1770.16 0.244046
6500 2.44397 2.24366 1718.79 1777.5 0.243039
7000 2.45026 2.1701 1694.29 1785.35 0.241969
7500 2.43513 2.13397 1682.97 1793.65 0.24085
8000 2.41214 2.16557 1675.68 1802.32 0.239691
8500 2.45683 2.10866 1623.71 1811.35 0.238497
9000 2.40664 2.06606 1632.71 1820.69 0.237274
9500 2.36383 1.99173 1636.81 1830.25 0.236034
10000 2.35493 1.98097 1619.05 1839.96 0.234789
10500 2.33741 1.95714 1606.78 1849.73 0.233548
11000 2.27199 1.96181 1625.27 1859.53 0.232317
11500 2.24713 1.93918 1617.98 1869.31 0.231102
12000 2.23689 1.86469 1601.9 1879.01 0.229908
12500 2.26496 1.83091 1561.65 1888.54 0.228748
13000 2.28588 1.79651 1526.25 1897.87 0.227624
13500 2.23247 1.8073 1539.76 1906.96 0.226539
14000 2.22824 1.79288 1522.11 1915.77 0.225497
14500 2.20208 1.77444 1519.08 1924.32 0.224495
15000 2.17127 1.70502 1520.53 1932.56 0.223538
15500 2.12794 1.76701 1530.03 1940.47 0.222627
16000 2.13136 1.69406 1510.6 1948.09 0.221756
16500 2.15226 1.67797 1480.49 1955.38 0.220929
17000 2.19778 1.62047 1435.45 1962.33 0.220146
17500 2.11264 1.67169 1475.14 1968.95 0.219407
18000 2.09605 1.6727 1471.32 1975.29 0.218703
18500 2.07539 1.65886 1470.54 1981.37 0.218031
19000 2.09104 1.62131 1447.03 1987.21 0.21739
19500 2.09529 1.5925 1431.46 1992.8 0.216781
20000 2.06383 1.64568 1439.39 1998.13 0.216203
20500 2.08731 1.59976 1412.42 2003.23 0.215652
21000 2.00901 1.61577 1451.53 2008.12 0.215127
21500 2.02656 1.59712 1429.15 2012.8 0.214626
22000 2.07047 1.57932 1390.2 2017.29 0.214149
22500 2.00975 1.56954 1419.51 2021.57 0.213695
23000 2.00745 1.56793 1411.22 2025.66 0.213264
23500 1.98764 1.51953 1414.84 2029.57 0.212853
24000 1.98931 1.54993 1404.69 2033.28 0.212465
24500 1.98331 1.54756 1399.88 2036.81 0.212097
25000 1.98635 1.52301 1389.64 2040.17 0.211747
25500 1.99355 1.47208 1376.96 2043.34 0.211419
26000 1.96371 1.53658 1388.43 2046.31 0.211112
26500 1.97704 1.5046 1372.56 2049.08 0.210827
27000 1.94203 1.52092 1388.31 2051.66 0.210561
27500 1.94866 1.49658 1377.2 2054.06 0.210315
28000 1.95159 1.46647 1368.98 2056.26 0.210091
28500 1.96349 1.49592 1355.05 2058.23 0.209889
29000 1.93643 1.45609 1366.73 2060.02 0.209707
29500 1.92368 1.45158 1369.56 2061.59 0.209547
30000 1.89325 1.4637 1384.05 2062.95 0.209408
30500 1.87315 1.47149 1392.2 2064.13 0.20929
31000 1.90126 1.48328 1369.2 2065.1 0.20919
31500 1.97576 1.44499 1316.66 2065.89 0.209111
32000 1.90633 1.45809 1357.31 2066.46 0.209053
32500 1.90717 1.47527 1352.7 2066.86 0.209013
33000 1.88629 1.4132 1362.76 2067.07 0.208991
33500 1.91359 1.4161 1341.8 2067.09 0.20899
34000 1.89864 1.42283 1348.29 2066.9 0.209009
34500 1.89049 1.45906 1350.47 2066.51 0.209048
35000 1.92559 1.40049 1325.21 2065.93 0.209107
35500 1.91884 1.44166 1327.06 2065.14 0.209187
36000 1.89344 1.43807 1341.39 2064.19 0.209283
36500 1.92862 1.41975 1316.72 2063.05 0.209398
37000 1.88463 1.44716 1343.22 2061.73 0.209533
37500 1.90362 1.41617 1329.48 2060.24 0.209684
38000 1.86313 1.41675 1354.48 2058.56 0.209856
38500 1.86887 1.45701 1349.63 2056.69 0.210046
39000 1.85327 1.45077 1359.15 2054.69 0.210251
39500 1.81741 1.46444 1381.76 2052.54 0.210471
40000 1.8139 1.42172 1383.94 2050.26 0.210705
40500 1.83515 1.43693 1369.91 2047.82 0.210956
41000 1.83853 1.51508 1367.61 2045.24 0.211223
41500 1.87989 1.47485 1341.11 2042.57 0.211499
42000 1.84044 1.52113 1366.79 2039.83 0.211783
42500 1.82184 1.50825 1379.43 2037.02 0.212074
43000 1.84396 1.43643 1365.73 2034.13 0.212376
43500 1.85987 1.47491 1355.82 2031.12 0.21269
44000 1.83204 1.49701 1374.66 2028.04 0.213014
44500 1.83406 1.47655 1374.24 2024.89 0.213345
45000 1.83876 1.51125 1371.95 2021.65 0.213686
45500 1.79766 1.48863 1399.81 2018.37 0.214034
46000 1.84991 1.46816 1367.17 2015.02 0.214391
46500 1.83927 1.50124 1375.05 2011.59 0.214755
47000 1.82264 1.48286 1387.28 2008.11 0.215127
47500 1.80904 1.52002 1397.43 2004.58 0.215507
48000 1.84189 1.49858 1377.78 2001.01 0.215891
48500 1.86135 1.50181 1366.51 1997.41 0.21628
49000 1.81205 1.5541 1399.91 1993.78 0.216673
49500 1.84753 1.53343 1378.62 1990.17 0.217067
50000 1.78323 1.53582 1421.78 1986.58 0.217459
50500 1.80887 1.51778 1406.8 1982.99 0.217853
51000 1.79742 1.54128 1415.73 1979.36 0.218253
51500 1.81807 1.5052 1404.22 1975.74 0.218653
52000 1.80925 1.58926 1411.37 1972.14 0.219052
52500 1.78353 1.55269 1429.71 1968.59 0.219446
53000 1.82426 1.53887 1404.84 1965.08 0.219838
53500 1.81404 1.57331 1412.72 1961.61 0.220228
54000 1.83182 1.54604 1402.75 1958.17 0.220614
54500 1.80945 1.56708 1418.59 1954.77 0.220998
55000 1.81172 1.61268 1418.33 1951.43 0.221376
55500 1.83202 1.59121 1406.4 1948.18 0.221745
56000 1.81661 1.49709 1417.61 1944.99 0.222109
56500 1.80456 1.6259 1426 1941.82 0.222472
57000 1.77806 1.55034 1444.46 1938.72 0.222827
57500 1.78647 1.58324 1439.66 1935.68 0.223178
58000 1.79849 1.57564 1432.61 1932.69 0.223523
58500 1.78913 1.62754 1439.24 1929.75 0.223863
59000 1.82656 1.54021 1415.8 1926.87 0.224197
59500 1.8263 1.5723 1416.23 1924.04 0.224528
60000 1.80866 1.59848 1427.8 1921.26 0.224853
60500 1.74779 1.59576 1467.6 1918.52 0.225174
61000 1.8153 1.56853 1424.32 1915.84 0.225488
61500 1.75716 1.60743 1461.93 1913.24 0.225795
62000 1.74861 1.61791 1467.57 1910.7 0.226095
62500 1.75788 1.60431 1461.66 1908.23 0.226388
63000 1.74009 1.66875 1472.99 1905.83 0.226673
63500 1.76254 1.61857 1458.46 1903.54 0.226946
64000 1.72308 1.64967 1483.62 1901.35 0.227207
64500 1.73404 1.62068 1476.15 1899.27 0.227456
65000 1.74011 1.66236 1471.39 1897.28 0.227695
65500 1.75991 1.61277 1457.82 1895.37 0.227923
66000 1.75174 1.67656 1461.87 1893.53 0.228145
66500 1.74128 1.65661 1467.72 1891.8 0.228354
67000 1.75783 1.66137 1455.76 1890.18 0.22855
67500 1.73242 1.66443 1470.64 1888.66 0.228734
68000 1.72192 1.6476 1476.11 1887.22 0.228908
68500 1.76426 1.6393 1447.05 1885.88 0.229071
69000 1.72654 1.64374 1469.67 1884.63 0.229223
69500 1.74756 1.70495 1453.87 1883.48 0.229363
70000 1.7419 1.68743 1455.34 1882.43 0.229491
70500 1.72112 1.68846 1466.46 1881.48 0.229607
71000 1.70943 1.67872 1471.56 1880.63 0.22971
71500 1.70046 1.67251 1474.8 1879.87 0.229803
72000 1.69255 1.69796 1477.11 1879.21 0.229884
72500 1.68374 1.65488 1479.98 1878.65 0.229952
73000 1.71493 1.64517 1456.7 1878.17 0.230011
73500 1.72959 1.6238 1444.04 1877.74 0.230064
74000 1.69177 1.67151 1464.96 1877.38 0.230108
74500 1.67569 1.62528 1472.38 1877.1 0.230143
75000 1.70467 1.57712 1450.41 1876.86 0.230172
75500 1.69541 1.65925 1452.56 1876.64 0.230199
76000 1.65918 1.66547 1472.45 1876.48 0.230219
76500 1.67252 1.64569 1460.19 1876.37 0.230232
77000 1.65974 1.59185 1464.93 1876.3 0.23024
77500 1.66546 1.63811 1457.36 1876.25 0.230246
78000 1.68336 1.62292 1441.98 1876.24 0.230248
78500 1.67029 1.615 1446.66 1876.27 0.230244
79000 1.66275 1.63061 1447.53 1876.32 0.230238
79500 1.67449 1.56261 1436.3 1876.37 0.230231
80000 1.67448 1.59548 1432.29 1876.43 0.230224
80500 1.6437 1.62099 1448.33 1876.47 0.230219
81000 1.65102 1.63968 1439.63 1876.53 0.230212
81500 1.64959 1.54242 1436.99 1876.62 0.230201
82000 1.64631 1.6337 1434.97 1876.71 0.23019
82500 1.64678 1.56701 1430.92 1876.81 0.230178
83000 1.63349 1.60995 1435.54 1876.92 0.230164
83500 1.60099 1.56777 1452.78 1877.04 0.230149
84000 1.63422 1.54068 1427.48 1877.13 0.230138
84500 1.58211 1.61368 1457.33 1877.16 0.230135
85000 1.55814 1.5828 1469.23 1877.18 0.230132
85500 1.62051 1.52424 1425.36 1877.19 0.230132
86000 1.59963 1.53609 1435.22 1877.12 0.230139
86500 1.58374 1.59236 1441.88 1877 0.230154
87000 1.5992 1.57547 1428.58 1876.87 0.23017
87500 1.56127 1.57496 1449.81 1876.72 0.230188
88000 1.58981 1.61094 1427.83 1876.57 0.230207
88500 1.59791 1.61038 1419.08 1876.42 0.230225
89000 1.55165 1.5344 1446.04 1876.26 0.230245
89500 1.6059 1.58572 1407.47 1876.08 0.230267
90000 1.57229 1.58999 1425.93 1875.89 0.230291
90500 1.54145 1.57199 1442.63 1875.69 0.230316
91000 1.52671 1.58717 1449.06 1875.46 0.230343
91500 1.57991 1.59846 1411.35 1875.24 0.230371
92000 1.54746 1.55271 1429.35 1875.03 0.230397
92500 1.5448 1.58666 1427.72 1874.78 0.230427
93000 1.57702 1.61004 1403.64 1874.51 0.23046
93500 1.56576 1.53705 1407.96 1874.25 0.230492
94000 1.5664 1.55001 1404.45 1873.95 0.23053
94500 1.52213 1.58997 1429.94 1873.6 0.230572
95000 1.50448 1.54776 1438.66 1873.25 0.230615
