# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.68338 2.40605 1761.74 1728.06 0.249991
1000 2.66322 2.33099 1773.96 1728.37 0.249947
1500 2.60865 2.32978 1807.48 1728.95 0.249863
2000 2.65915 2.46212 1771.65 1729.78 0.249743
2500 2.65981 2.37019 1767.77 1730.91 0.249579
3000 2.66036 2.43775 1762.39 1732.35 0.249372
3500 2.6761 2.39512 1746.63 1734.11 0.249119
4000 2.62901 2.40384 1770.63 1736.15 0.248827
4500 2.67431 2.33619 1734 1738.46 0.248496
5000 2.598 2.40471 1774.94 1741.05 0.248126
5500 2.60417 2.33175 1762.09 1743.92 0.247718
6000 2.58876 2.26962 1762.35 1747.04 0.247275
6500 2.54385 2.30915 1780.86 1750.4 0.246801
7000 2.58747 2.30074 1741.31 1753.99 0.246296
7500 2.59526 2.269 1724.36 1757.82 0.245759
8000 2.52639 2.32878 1756.24 1761.85 0.245197
8500 2.53453 2.29977 1737.62 1766.11 0.244606
9000 2.47463 2.29725 1762.43 1770.58 0.243988
9500 2.59278 2.19399 1671.91 1775.24 0.243348
10000 2.51252 2.22838 1709.13 1780.04 0.242691
10500 2.49082 2.1826 1708.22 1784.98 0.24202
11000 2.5059 2.16077 1683.09 1790.05 0.241335
11500 2.51799 2.22182 1659.35 1795.21 0.240641
12000 2.49807 2.15542 1656.4 1800.47 0.239937
12500 2.44668 2.15656 1673.89 1805.8 0.23923
13000 2.46179 2.07017 1648.13 1811.18 0.238518
13500 2.4249 2.04103 1655.95 1816.6 0.237807
14000 2.40294 2.07877 1654.41 1822 0.237102
14500 2.40196 2.06506 1639.34 1827.37 0.236405
15000 2.37858 2.01034 1638.91 1832.72 0.235715
15500 2.41609 2.00274 1599.18 1838.01 0.235037
16000 2.34973 1.95979 1627.3 1843.21 0.234374
16500 2.34397 1.96116 1616.55 1848.27 0.233732
17000 2.3124 1.93391 1623.06 1853.19 0.233112
17500 2.33417 1.95015 1595.22 1857.95 0.232515
18000 2.33928 1.90491 1578.95 1862.53 0.231943
18500 2.29571 1.90388 1594.44 1866.93 0.231396
19000 2.28389 1.91139 1589.8 1871.15 0.230875
19500 2.28805 1.93886 1575.12 1875.18 0.230378
20000 2.26999 1.8774 1575.55 1879.04 0.229905
20500 2.26804 1.90315 1565.85 1882.7 0.229458
21000 2.28364 1.86747 1545.4 1886.16 0.229037
21500 2.24519 1.89645 1560.25 1889.42 0.228642
22000 2.2251 1.84935 1564 1892.46 0.228274
22500 2.24262 1.90396 1543.46 1895.3 0.227932
23000 2.25459 1.83008 1527.36 1897.96 0.227613
23500 2.2286 1.85935 1535.91 1900.41 0.227319
24000 2.20663 1.80112 1542.58 1902.69 0.227046
24500 2.17813 1.83491 1553.7 1904.76 0.2268
25000 2.19497 1.75744 1536.32 1906.61 0.22658
25500 2.19842 1.81584 1527.48 1908.23 0.226387
26000 2.18289 1.75099 1531.88 1909.64 0.226221
26500 2.17812 1.77574 1529.37 1910.82 0.226081
27000 2.18109 1.84363 1522.02 1911.8 0.225965
27500 2.15709 1.77144 1533.13 1912.58 0.225873
28000 2.17051 1.876 1519.76 1913.14 0.225807
28500 2.11559 1.77899 1551.62 1913.52 0.225762
29000 2.15929 1.71384 1519.81 1913.68 0.225744
29500 2.12716 1.77456 1537.31 1913.61 0.225752
30000 2.18807 1.78802 1495 1913.31 0.225787
30500 2.15223 1.78608 1515.63 1912.84 0.225842
31000 2.16474 1.77672 1505.31 1912.2 0.225917
31500 2.13774 1.76994 1520.92 1911.41 0.226011
32000 2.14063 1.76844 1517.31 1910.44 0.226126
32500 2.11065 1.7773 1535.23 1909.28 0.226263
33000 2.10492 1.74192 1538.12 1907.93 0.226423
33500 2.11829 1.80479 1528.53 1906.41 0.226604
34000 2.11619 1.72291 1529.6 1904.72 0.226805
34500 2.11743 1.80682 1528.27 1902.84 0.227029
35000 2.13652 1.73754 1516.05 1900.8 0.227272
35500 2.16064 1.81959 1500.44 1898.6 0.227536
36000 2.14329 1.8087 1512.19 1896.28 0.227815
36500 2.12049 1.8204 1527.7 1893.82 0.228111
37000 2.07516 1.78723 1558.13 1891.24 0.228422
37500 2.10811 1.75218 1537.93 1888.52 0.22875
38000 2.1427 1.81153 1516.69 1885.66 0.229098
38500 2.08969 1.73702 1552.8 1882.67 0.229461
39000 2.10863 1.77632 1542.05 1879.54 0.229844
39500 2.0949 1.78661 1552.9 1876.28 0.230243
40000 2.10049 1.86319 1551.4 1872.91 0.230658
40500 2.11825 1.84566 1542.35 1869.47 0.231081
41000 2.0783 1.87785 1570.69 1865.99 0.231513
41500 2.10916 1.84625 1553.24 1862.44 0.231954
42000 2.08541 1.82427 1571.25 1858.83 0.232404
42500 2.11301 1.82949 1556.2 1855.15 0.232865
43000 2.09011 1.87842 1573.83 1851.42 0.233335
43500 2.10936 1.87194 1564.32 1847.64 0.233812
44000 2.0737 1.87809 1590.44 1843.85 0.234293
44500 2.10171 1.88211 1575.14 1840.01 0.234781
45000 2.08059 1.92953 1591.91 1836.16 0.235274
45500 2.06433 1.95261 1605.69 1832.31 0.235769
46000 2.12261 1.90589 1571.2 1828.49 0.236261
46500 2.15114 1.87735 1555.8 1824.68 0.236754
47000 2.08308 1.87462 1602.78 1820.88 0.237248
47500 2.05726 1.94384 1622.34 1817.06 0.237747
48000 2.13546 1.9485 1574.82 1813.26 0.238245
48500 2.09122 2.01504 1606.24 1809.5 0.23874
49000 2.09667 1.93175 1605.94 1805.8 0.239229
49500 2.18373 1.97369 1552.2 1802.15 0.239714
50000 2.13555 1.93223 1585.98 1798.55 0.240193
50500 2.10042 1.90556 1611.4 1794.98 0.240671
51000 2.06471 1.89101 1636.98 1791.43 0.241148
51500 2.1377 1.89164 1591.98 1787.87 0.241628
52000 2.1545 1.88903 1583.44 1784.32 0.242109
52500 2.09131 1.93076 1626.71 1780.79 0.242589
53000 2.08716 2.0109 1631.62 1777.3 0.243066
53500 2.0813 1.97942 1638.05 1773.88 0.243534
54000 2.06724 1.94731 1649.61 1770.53 0.243994
54500 2.06774 2.02084 1651.13 1767.24 0.244449
55000 2.11666 2.0348 1621.47 1764.04 0.244893
55500 2.11276 2.01917 1625.79 1760.92 0.245326
56000 2.05946 2.13118 1661.96 1757.91 0.245746
56500 2.07485 2.00238 1653.76 1755.04 0.246149
57000 2.06884 2.04609 1658.76 1752.25 0.24654
57500 2.08413 1.94414 1649.95 1749.54 0.246921
58000 2.07658 2.05577 1655.45 1746.88 0.247299
58500 2.04599 2.12386 1676.05 1744.3 0.247665
59000 2.01617 2.09733 1696.2 1741.85 0.248013
59500 2.0458 2.09737 1677.48 1739.52 0.248344
60000 2.04468 2.04914 1678.51 1737.3 0.248662
60500 2.07083 2.08745 1661.45 1735.16 0.248969
61000 2.03304 2.04162 1685.88 1733.11 0.249263
61500 2.07843 2.07867 1656.02 1731.17 0.249543
62000 2.02145 2.02702 1692.48 1729.33 0.249808
62500 2.04757 2.06437 1674.64 1727.56 0.250064
63000 2.04704 2.08227 1674.02 1725.88 0.250307
63500 2.03874 2.05912 1678.33 1724.29 0.250537
64000 2.03867 2.1365 1676.91 1722.79 0.250755
64500 2.02438 2.12871 1684.72 1721.42 0.250955
65000 2.00627 2.07699 1694.88 1720.15 0.25114
65500 2.01855 2.07896 1684.9 1718.97 0.251314
66000 2.07534 2.11087 1645.9 1717.87 0.251474
66500 1.99292 2.1017 1696.97 1716.88 0.251619
67000 2.00876 2.12362 1684.12 1715.99 0.25175
67500 2.00998 2.08256 1680.77 1715.18 0.251869
68000 2.01397 2.09444 1675.33 1714.46 0.251974
68500 1.94405 2.14227 1717.59 1713.85 0.252065
69000 1.95408 2.11508 1707.95 1713.33 0.25214
69500 1.96707 2.10133 1696.05 1712.91 0.252202
70000 1.9559 2.09843 1699.55 1712.58 0.25225
70500 1.96956 2.06903 1687.14 1712.31 0.252291
