# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.15598 2.15865 1714.26 1728.29 0.249958
1000 2.19208 2.15773 1686.14 1729.72 0.249751
1500 2.15223 2.1334 1702.83 1732.58 0.24934
2000 2.10939 2.1333 1717.27 1736.71 0.248746
2500 2.11214 2.02731 1699.32 1741.94 0.247999
3000 2.11832 2.10845 1675.27 1748.05 0.247132
3500 2.05721 2.0582 1692.39 1755.12 0.246137
4000 2.07132 2.00397 1658.09 1763.01 0.245036
4500 2.06253 2.01737 1636.47 1771.55 0.243855
5000 2.10372 1.94573 1580.66 1780.7 0.242602
5500 2.00864 1.96671 1612.61 1790.26 0.241306
6000 2.01298 1.91276 1580.7 1799.82 0.240024
6500 1.98324 1.89421 1571.42 1809.21 0.238779
7000 1.9674 1.78893 1554.67 1818.3 0.237585
7500 1.94134 1.80112 1546.82 1826.65 0.236498
8000 1.91522 1.84104 1540.4 1834.25 0.235519
8500 1.88688 1.79976 1537.33 1841.2 0.23463
9000 1.85849 1.7906 1536 1847.38 0.233845
9500 1.83468 1.77903 1533.45 1852.8 0.233161
10000 1.81491 1.69376 1530.72 1857.24 0.232604
10500 1.83051 1.68536 1507.12 1860.41 0.232207
11000 1.83319 1.72211 1494.08 1862.2 0.231984
11500 1.82595 1.72031 1489.4 1862.85 0.231902
12000 1.79453 1.72421 1502.07 1862.46 0.231951
12500 1.75171 1.6901 1523.91 1861.04 0.232128
13000 1.79382 1.65538 1492.18 1858.51 0.232444
13500 1.79588 1.74611 1487.84 1854.73 0.232918
14000 1.78672 1.69841 1492.8 1850.04 0.233509
14500 1.77092 1.74977 1503.1 1844.61 0.234197
15000 1.77739 1.77124 1499.76 1838.62 0.234959
15500 1.75484 1.7317 1516.15 1832.04 0.235803
16000 1.7161 1.70349 1543.95 1824.81 0.236737
16500 1.76582 1.83588 1515.27 1816.95 0.237761
17000 1.81923 1.77047 1485.07 1808.95 0.238813
17500 1.72963 1.82456 1547.38 1800.76 0.239899
18000 1.68336 1.80037 1582.1 1792.43 0.241015
18500 1.73289 1.8409 1554.95 1783.87 0.24217
19000 1.76609 1.85634 1538.49 1775.3 0.243339
19500 1.7357 1.8953 1563.08 1766.86 0.244502
20000 1.75115 1.83334 1557.98 1758.72 0.245634
20500 1.74023 1.90185 1568.99 1750.95 0.246723
21000 1.69932 1.89496 1598.73 1743.56 0.24777
21500 1.72506 1.9099 1584.99 1736.49 0.248778
22000 1.69687 1.85955 1605.41 1729.89 0.249727
22500 1.71387 1.95731 1595.31 1723.61 0.250638
23000 1.69785 1.87942 1606.44 1717.74 0.251493
23500 1.72202 1.92545 1590.55 1712.18 0.252311
24000 1.71652 2.00146 1592.99 1707.08 0.253064
24500 1.66879 1.94376 1622.1 1702.71 0.253714
25000 1.69519 1.87563 1602.08 1698.82 0.254295
25500 1.65035 1.98824 1627.07 1695.18 0.25484
26000 1.68213 1.99172 1601.9 1692.05 0.255312
26500 1.6385 1.93091 1624.79 1689.37 0.255717
27000 1.63337 1.93028 1622.35 1686.94 0.256084
27500 1.64833 1.97859 1605.97 1684.87 0.256399
28000 1.63758 1.94297 1605.44 1683.25 0.256646
28500 1.60362 1.96557 1619.51 1681.89 0.256854
29000 1.62723 1.91152 1595.79 1680.82 0.257017
29500 1.63479 1.96105 1581.79 1679.9 0.257159
30000 1.59662 1.99708 1597.1 1679.22 0.257262
30500 1.54725 1.92016 1619.57 1678.96 0.257303
31000 1.58531 1.8804 1584.89 1678.82 0.257324
31500 1.58902 1.9123 1572.11 1678.7 0.257342
32000 1.55573 1.9752 1583.07 1678.73 0.257337
32500 1.49356 1.95241 1612.66 1679.06 0.257287
33000 1.50402 1.8807 1595.14 1679.53 0.257215
33500 1.53808 1.92664 1562.02 1679.94 0.257152
34000 1.51705 1.8884 1564.86 1680.33 0.257092
34500 1.50258 1.92019 1563.17 1680.82 0.257018
35000 1.46604 1.85678 1576.1 1681.34 0.256938
35500 1.50932 1.9055 1537.23 1681.74 0.256876
36000 1.45888 1.87681 1559.26 1682.17 0.256811
36500 1.44871 1.83179 1555.78 1682.48 0.256764
37000 1.44494 1.84762 1548.45 1682.5 0.25676
37500 1.45904 1.81102 1530.22 1682.2 0.256807
38000 1.44892 1.85181 1527.99 1681.52 0.25691
38500 1.4537 1.8005 1517.19 1680.57 0.257056
39000 1.43075 1.84704 1524.69 1679.3 0.25725
39500 1.39297 1.86449 1542.52 1677.86 0.257471
40000 1.37524 1.79104 1547.74 1676.29 0.257713
40500 1.39371 1.8455 1529.91 1674.37 0.258007
41000 1.38195 1.85213 1532.14 1672.26 0.258333
41500 1.36465 1.84104 1538.51 1669.88 0.258702
42000 1.31418 1.86609 1566.96 1667.21 0.259116
42500 1.34065 1.88035 1546.23 1664.46 0.259543
43000 1.3586 1.9254 1530.42 1661.78 0.259963
43500 1.34357 1.86571 1536.31 1659.08 0.260386
44000 1.35527 1.78613 1525.15 1656.22 0.260835
44500 1.3433 1.74791 1529.68 1653.02 0.26134
45000 1.30217 1.88399 1553.62 1649.31 0.261928
45500 1.34179 1.98507 1526.13 1645.49 0.262536
46000 1.27235 1.85828 1569.45 1641.9 0.263109
