# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.31108 2.20428 1743.1 1728.39 0.249944
1000 2.35648 2.16914 1709.1 1730.33 0.249664
1500 2.35651 2.14292 1700.09 1734 0.249135
2000 2.31098 2.19575 1716.13 1739.41 0.248361
2500 2.34643 2.1416 1675.44 1746.55 0.247345
3000 2.30464 2.08803 1681 1755.46 0.24609
3500 2.28848 2.0455 1666.66 1766 0.244622
4000 2.22262 2.16922 1679.94 1778.09 0.242958
4500 2.23446 2.00179 1640.61 1791.7 0.241113
5000 2.21471 2.0613 1618.59 1806.61 0.239123
5500 2.16155 1.9574 1616 1822.68 0.237015
6000 2.11598 1.89772 1608.31 1839.59 0.234837
6500 2.13703 1.83877 1557.42 1856.98 0.232637
7000 2.07384 1.78342 1561.19 1874.54 0.230458
7500 2.14989 1.7902 1474.96 1892.01 0.22833
8000 2.04309 1.69324 1508.69 1909.21 0.226273
8500 2.03177 1.67349 1481.43 1925.92 0.22431
9000 2.00731 1.65625 1464.32 1942.07 0.222444
9500 1.98838 1.58279 1445.77 1957.56 0.220683
10000 1.95135 1.58725 1440.45 1972.34 0.219031
10500 1.94422 1.59286 1416.68 1986.47 0.217472
11000 1.87274 1.59767 1435.54 2000.1 0.21599
11500 1.90786 1.53037 1386.97 2013.29 0.214575
12000 1.88278 1.4473 1379.04 2026.05 0.213223
12500 1.84025 1.46174 1383.49 2038.35 0.211937
13000 1.85141 1.39558 1354.31 2050.27 0.210705
13500 1.81287 1.4212 1358.22 2061.82 0.209524
14000 1.82293 1.37372 1331.21 2073.06 0.208388
14500 1.82855 1.39166 1307.71 2084.05 0.20729
15000 1.82138 1.35357 1293.12 2094.8 0.206225
15500 1.77219 1.36945 1306.1 2105.36 0.205191
16000 1.74486 1.35654 1305.5 2115.75 0.204183
16500 1.71468 1.34641 1307.3 2125.96 0.203203
17000 1.74079 1.32759 1272.94 2135.98 0.20225
17500 1.73414 1.29739 1260.4 2145.81 0.201323
18000 1.71869 1.29225 1254.06 2155.39 0.200428
18500 1.69623 1.2496 1252.85 2164.72 0.199565
19000 1.70547 1.23416 1231.74 2173.73 0.198737
19500 1.71696 1.24332 1209.42 2182.43 0.197945
20000 1.6798 1.19085 1219.34 2190.79 0.197189
20500 1.64854 1.21122 1226.09 2198.76 0.196475
21000 1.60798 1.20351 1239.22 2206.37 0.195797
21500 1.61588 1.21384 1221.49 2213.64 0.195154
22000 1.58075 1.20057 1231.99 2220.59 0.194543
22500 1.57658 1.15345 1222.92 2227.23 0.193963
23000 1.62061 1.14898 1183.07 2233.47 0.193421
23500 1.62037 1.12491 1172.63 2239.27 0.19292
24000 1.61921 1.107 1163.4 2244.6 0.192462
24500 1.604 1.13152 1163.52 2249.45 0.192047
25000 1.567 1.14216 1178.19 2253.88 0.191669
25500 1.57105 1.14515 1166.63 2257.97 0.191322
26000 1.55359 1.11774 1169.64 2261.71 0.191006
26500 1.59793 1.13589 1132.68 2265.08 0.190722
27000 1.55466 1.08971 1153.04 2268.17 0.190462
27500 1.57784 1.09008 1130.68 2270.87 0.190236
28000 1.55428 1.09595 1138.91 2273.2 0.19004
28500 1.50038 1.07923 1167.37 2275.2 0.189873
29000 1.52803 1.13316 1143.05 2276.83 0.189737
29500 1.5086 1.0778 1150.06 2278.18 0.189625
30000 1.54344 1.09516 1121.9 2279.21 0.189539
30500 1.52186 1.07676 1130.63 2279.94 0.189478
31000 1.48136 1.0978 1151.89 2280.36 0.189444
31500 1.45953 1.09093 1161.52 2280.49 0.189433
32000 1.50053 1.09916 1130.72 2280.38 0.189442
32500 1.44809 1.04474 1160.95 2280 0.189474
33000 1.47353 1.10981 1140.56 2279.29 0.189533
33500 1.45716 1.12691 1147.78 2278.35 0.189611
34000 1.43962 1.07785 1156.24 2277.24 0.189703
34500 1.45167 1.09017 1145.43 2275.94 0.189812
35000 1.46389 1.08856 1134.7 2274.39 0.189941
35500 1.448 1.09526 1142.49 2272.6 0.190091
36000 1.4558 1.09216 1135.2 2270.65 0.190254
36500 1.48085 1.06224 1116.92 2268.55 0.19043
37000 1.504 1.08681 1099.81 2266.26 0.190622
37500 1.47122 1.03245 1119.34 2263.77 0.190832
38000 1.44714 1.11208 1133.16 2261.03 0.191064
38500 1.44812 1.09748 1131.28 2258.13 0.191308
39000 1.40086 1.07602 1160.89 2255.1 0.191566
39500 1.40092 1.10787 1159.99 2251.91 0.191837
40000 1.39714 1.10628 1161.77 2248.6 0.19212
40500 1.40178 1.09218 1158.33 2245.19 0.192411
41000 1.4368 1.0857 1135.12 2241.69 0.192712
41500 1.42722 1.06934 1140.8 2238.12 0.193019
42000 1.41301 1.08334 1149.5 2234.42 0.193338
42500 1.42077 1.10664 1144.3 2230.59 0.193671
43000 1.46538 1.06248 1115.37 2226.68 0.194011
43500 1.484 1.0888 1102.95 2222.64 0.194363
44000 1.41031 1.08984 1150.74 2218.54 0.194723
44500 1.42353 1.0933 1142.4 2214.36 0.195091
45000 1.39896 1.16461 1158.44 2210.14 0.195463
45500 1.41781 1.13081 1146.58 2205.99 0.19583
