# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.24332 2.21699 1721.75 1728.63 0.24991
1000 2.22771 2.16941 1724.23 1731.79 0.249454
1500 2.26653 2.17436 1684.58 1737.75 0.248597
2000 2.19854 2.19142 1707.34 1746.49 0.247354
2500 2.23108 2.10672 1658.49 1758.06 0.245727
3000 2.1501 2.10368 1677.07 1772.32 0.24375
3500 2.11936 2.00871 1659.25 1789.02 0.241474
4000 2.13561 1.88228 1607.61 1807.75 0.238973
4500 2.13033 1.8957 1566.29 1828.06 0.236319
5000 2.11074 1.86389 1532.63 1849.52 0.233577
5500 2.0076 1.73421 1553.89 1871.57 0.230825
6000 1.99622 1.74919 1516.09 1893.56 0.228145
6500 1.94142 1.70039 1507.97 1915.14 0.225573
7000 1.9639 1.61306 1452.21 1935.95 0.223148
7500 1.94206 1.60128 1427.14 1955.83 0.22088
8000 1.89949 1.53485 1417.86 1974.73 0.218766
8500 1.85661 1.53891 1410.78 1992.69 0.216794
9000 1.81646 1.54827 1403.94 2009.88 0.214939
9500 1.79978 1.47992 1383.24 2026.47 0.21318
10000 1.80406 1.43431 1350.93 2042.54 0.211502
10500 1.75722 1.41406 1353.01 2058.15 0.209898
11000 1.74284 1.34753 1336.08 2073.3 0.208364
11500 1.72071 1.32886 1325.24 2088 0.206897
12000 1.6977 1.39101 1315.26 2102.33 0.205487
12500 1.6981 1.33599 1290.83 2116.46 0.204115
13000 1.70867 1.29515 1260.74 2130.38 0.202781
13500 1.70846 1.27897 1238.43 2143.98 0.201495
14000 1.65843 1.24409 1249.41 2157.24 0.200256
14500 1.64156 1.253 1239.47 2170.11 0.199069
15000 1.63559 1.21488 1223.91 2182.53 0.197936
15500 1.63001 1.21245 1208.18 2194.49 0.196857
16000 1.62257 1.18351 1194.31 2206.06 0.195825
16500 1.55878 1.17302 1218 2217.14 0.194846
17000 1.58124 1.19925 1186.05 2227.72 0.193921
17500 1.55131 1.12973 1189.18 2237.89 0.19304
18000 1.55821 1.14177 1168.87 2247.52 0.192213
18500 1.54914 1.14299 1159.6 2256.61 0.191438
19000 1.52455 1.10464 1161.2 2265.18 0.190714
19500 1.54932 1.10816 1131.42 2273.15 0.190045
20000 1.55099 1.08427 1117.05 2280.57 0.189426
20500 1.52926 1.07925 1118.62 2287.49 0.188853
21000 1.52583 1.06495 1108.95 2293.8 0.188334
21500 1.51013 1.04206 1107.91 2299.52 0.187865
22000 1.49548 1.03553 1106.9 2304.66 0.187446
22500 1.5115 1.0231 1086.73 2309.16 0.187081
23000 1.52034 1.05014 1071.35 2313.1 0.186763
23500 1.47094 1.04836 1094.38 2316.54 0.186485
24000 1.43945 1.02618 1106.69 2319.5 0.186247
24500 1.45521 0.983569 1088.91 2321.88 0.186056
25000 1.43066 1.04353 1097.43 2323.63 0.185916
25500 1.42065 1.02674 1097.42 2324.89 0.185815
26000 1.45418 1.04037 1069.47 2325.78 0.185744
26500 1.46148 1.00785 1058.9 2326.33 0.1857
27000 1.42056 1.00838 1079.84 2326.48 0.185688
27500 1.43492 0.998877 1065.47 2326.18 0.185713
28000 1.40534 0.973236 1080.21 2325.42 0.185773
28500 1.40194 1.00242 1078.26 2324.25 0.185866
29000 1.41312 1.01951 1067.16 2322.68 0.185992
29500 1.42027 1.00157 1059.22 2320.76 0.186146
30000 1.37942 1.03146 1082.52 2318.55 0.186324
30500 1.37717 0.990383 1081.4 2316.11 0.18652
31000 1.36518 1.05218 1086.4 2313.4 0.186738
31500 1.37808 0.992191 1076.1 2310.47 0.186975
32000 1.40026 1.01566 1059.36 2307.25 0.187236
32500 1.33428 1.00441 1100.48 2303.83 0.187514
33000 1.37795 1.04337 1070.57 2300.19 0.18781
33500 1.34468 1.03023 1090.91 2296.45 0.188117
34000 1.34847 1.0372 1087.09 2292.56 0.188435
34500 1.31831 1.00898 1105.85 2288.55 0.188766
35000 1.31983 1.03934 1103.87 2284.42 0.189107
35500 1.34171 1.03775 1088.9 2280.19 0.189458
36000 1.3289 1.05494 1096.38 2275.89 0.189816
36500 1.34098 1.01752 1088.09 2271.53 0.190181
37000 1.36825 1.04506 1069.66 2267.08 0.190554
37500 1.32419 0.986462 1097.74 2262.62 0.190929
38000 1.31913 1.02255 1100.36 2258.01 0.191319
38500 1.34537 1.04316 1083.1 2253.35 0.191715
39000 1.32896 1.05438 1093.27 2248.66 0.192115
39500 1.35863 1.02997 1073.69 2243.96 0.192517
40000 1.31632 1.03136 1100.77 2239.26 0.192921
40500 1.28765 1.06792 1119.17 2234.55 0.193327
41000 1.29233 1.00007 1116.14 2229.87 0.193733
41500 1.28067 1.04962 1123.43 2225.16 0.194144
42000 1.30156 1.07447 1109.64 2220.49 0.194552
42500 1.29768 1.07296 1111.85 2215.94 0.194951
43000 1.30197 1.07765 1108.64 2211.52 0.195341
43500 1.33918 1.05345 1084 2207.22 0.195721
44000 1.306 1.0844 1104.71 2203.04 0.196092
44500 1.30708 1.09413 1103.13 2199.04 0.196449
45000 1.30046 1.07588 1106.41 2195.24 0.196789
45500 1.29645 1.04481 1107.8 2191.54 0.197122
46000 1.25887 1.06119 1130.78 2187.79 0.197459
46500 1.23257 1.07925 1146.65 2184.05 0.197798
47000 1.29316 1.0356 1106.52 2180.32 0.198136
47500 1.26245 1.06905 1125.09 2176.65 0.19847
48000 1.25149 1.09507 1131.07 2173.02 0.198801
48500 1.28762 1.06454 1106.47 2169.54 0.199121
49000 1.29507 1.06188 1099.93 2166.14 0.199433
49500 1.27877 1.04815 1109.06 2162.78 0.199743
50000 1.26241 1.11984 1117.95 2159.5 0.200046
50500 1.26039 1.10511 1117.57 2156.46 0.200328
51000 1.26103 1.12175 1115.12 2153.6 0.200595
51500 1.25847 1.09953 1114.71 2150.9 0.200846
52000 1.23688 1.12871 1126.36 2148.37 0.201083
52500 1.23584 1.08296 1124.79 2146.05 0.2013
53000 1.21719 1.10049 1134.26 2143.85 0.201506
53500 1.24149 1.1084 1115.83 2141.74 0.201705
54000 1.23428 1.10163 1117.53 2139.71 0.201897
54500 1.22077 1.07012 1123.52 2137.77 0.20208
55000 1.23933 1.08206 1108.44 2135.86 0.202261
55500 1.22198 1.09312 1116.65 2133.99 0.202438
56000 1.24707 1.12084 1097.31 2132.15 0.202612
56500 1.22058 1.09015 1111.41 2130.41 0.202777
57000 1.19978 1.07079 1121.66 2128.73 0.202938
57500 1.21624 1.09912 1107.91 2127.06 0.203097
58000 1.19417 1.13358 1118.89 2125.46 0.20325
58500 1.16257 1.11763 1136.29 2124 0.20339
59000 1.16695 1.1308 1130.16 2122.66 0.203519
59500 1.15973 1.1 1131.58 2121.48 0.203631
60000 1.18751 1.12242 1109.88 2120.41 0.203734
60500 1.18282 1.15893 1108.89 2119.51 0.203821
61000 1.14068 1.06983 1132.43 2118.8 0.203889
61500 1.14785 1.10845 1123.85 2118.04 0.203962
62000 1.18041 1.1789 1098.46 2117.36 0.204027
62500 1.18212 1.10728 1093.22 2116.93 0.204069
63000 1.19392 1.10223 1081.14 2116.56 0.204105
63500 1.16568 1.13933 1094.83 2116.29 0.204131
64000 1.16922 1.12055 1087.97 2116.13 0.204146
64500 1.14633 1.08698 1098.3 2116.03 0.204156
65000 1.14112 1.07966 1096.93 2115.92 0.204167
65500 1.15671 1.09633 1082.37 2115.7 0.204187
66000 1.13396 1.07782 1092.74 2115.43 0.204213
66500 1.13411 1.07958 1088.27 2115.18 0.204238
67000 1.13152 1.08731 1085.49 2114.91 0.204264
67500 1.09454 1.07285 1105.41 2114.57 0.204297
68000 1.11559 1.12667 1087.44 2114.15 0.204338
68500 1.08385 1.10007 1103.94 2113.75 0.204376
69000 1.07949 1.04327 1102.98 2113.34 0.204415
69500 1.08244 1.08527 1097.08 2112.87 0.204461
70000 1.09617 1.06698 1084.4 2112.32 0.204514
70500 1.09397 1.0873 1081.95 2111.72 0.204573
71000 1.08238 1.06025 1085.7 2111.06 0.204637
71500 1.07472 1.09632 1086.91 2110.25 0.204715
72000 1.04398 1.06546 1103.56 2109.41 0.204797
72500 1.10301 1.08151 1061.77 2108.54 0.204881
73000 1.08857 1.10037 1067.51 2107.67 0.204965
73500 1.09597 1.06996 1059.34 2106.79 0.205051
74000 1.06871 1.08896 1073.42 2105.88 0.20514
74500 1.04516 1.06755 1085.42 2104.94 0.205232
75000 1.09391 1.06855 1050.56 2103.88 0.205335
75500 1.0709 1.0793 1062.24 2102.72 0.205448
76000 1.06405 1.0783 1063.64 2101.5 0.205567
76500 1.07126 1.0775 1055.94 2100.27 0.205688
77000 1.08274 1.07386 1045.5 2098.99 0.205813
77500 1.05687 1.08338 1059.32 2097.68 0.205941
78000 1.0402 1.11865 1067.15 2096.41 0.206066
78500 1.01704 1.05172 1079.43 2095.19 0.206186
79000 1.06557 1.09075 1045.02 2093.92 0.206312
79500 1.01283 1.08072 1076.34 2092.65 0.206437
80000 1.04943 1.03117 1049.99 2091.34 0.206566
80500 1.04937 1.05579 1047.12 2089.88 0.206711
81000 1.01852 1.06951 1064.6 2088.31 0.206866
81500 1.01595 1.0851 1063.81 2086.73 0.207023
82000 1.05866 1.1167 1033.44 2085.12 0.207182
82500 1.05258 1.06872 1034.96 2083.6 0.207334
83000 1.0268 1.07431 1049.04 2082.08 0.207485
83500 1.02894 1.0521 1045.15 2080.55 0.207637
84000 1.02572 1.05727 1044.72 2078.95 0.207797
84500 1.00095 1.02187 1058.56 2077.22 0.20797
85000 1.0167 1.09634 1045.97 2075.34 0.208159
85500 1.00577 1.05213 1051.15 2073.42 0.208352
86000 0.998463 1.08925 1053.74 2071.45 0.20855
86500 1.01961 1.08658 1038.13 2069.49 0.208747
87000 1.05873 1.06789 1010.6 2067.53 0.208945
87500 0.957239 1.06301 1074.38 2065.53 0.209147
88000 0.982387 1.11619 1056.18 2063.48 0.209355
88500 0.991831 1.07551 1048.3 2061.5 0.209556
89000 0.989121 1.11785 1048.09 2059.57 0.209753
89500 0.97042 1.06579 1058.37 2057.73 0.20994
90000 0.973286 1.09337 1054.45 2055.85 0.210132
90500 0.970152 1.09559 1054.49 2053.95 0.210327
91000 0.972526 1.08209 1051.09 2052.08 0.210518
91500 0.979315 1.08281 1044.73 2050.23 0.210708
92000 0.98334 1.12118 1040.02 2048.38 0.210898
92500 0.99813 1.08397 1028.45 2046.63 0.211079
93000 0.981015 1.08066 1037.4 2044.9 0.211257
93500 1.00397 1.11337 1020.2 2043.17 0.211436
94000 0.969905 1.09983 1040.16 2041.55 0.211604
94500 0.997025 1.0995 1020.23 2040 0.211764
95000 0.942134 1.08821 1053.54 2038.48 0.211923
95500 0.965854 1.05143 1036.04 2036.96 0.212081
96000 0.955581 1.11127 1040.3 2035.37 0.212247
96500 0.957259 1.09265 1037.04 2033.82 0.212408
97000 0.961577 1.07 1032.11 2032.3 0.212567
97500 0.958906 1.14463 1031.22 2030.77 0.212728
98000 0.92222 1.11983 1052.95 2029.33 0.212878
98500 0.942164 1.08549 1037.85 2027.96 0.213022
99000 0.936988 1.08776 1038.74 2026.64 0.21316
99500 0.962385 1.10169 1019.81 2025.33 0.213298
100000 0.963402 1.10872 1016.61 2024.07 0.213431
100500 0.923825 1.08093 1039.78 2022.86 0.213559
101000 0.898274 1.09277 1054.05 2021.61 0.213691
101500 0.916444 1.13601 1039.82 2020.43 0.213816
102000 0.93051 1.10269 1028.29 2019.36 0.21393
102500 0.918875 1.05678 1033.27 2018.33 0.214038
103000 0.927693 1.07564 1024.87 2017.26 0.214152
103500 0.931131 1.06345 1020.16 2016.08 0.214277
104000 0.91375 1.09974 1028.84 2014.84 0.214409
104500 0.914091 1.05254 1026.39 2013.57 0.214544
105000 0.889751 1.07152 1039.89 2012.23 0.214687
105500 0.917261 1.06944 1019.83 2010.8 0.21484
106000 0.908426 1.06759 1023.5 2009.26 0.215004
106500 0.908676 1.05329 1021.44 2007.65 0.215176
107000 0.924169 1.11045 1009.34 2006.01 0.215353
107500 0.90796 1.10259 1017.89 2004.41 0.215525
108000 0.879852 1.09641 1034.33 2002.87 0.215691
108500 0.91197 1.05921 1011.58 2001.35 0.215854
109000 0.907843 1.0908 1012.08 1999.78 0.216023
