# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.31115 2.20446 1743.15 1728.34 0.24995
1000 2.35696 2.16998 1709.39 1730.06 0.249703
1500 2.35806 2.1459 1700.61 1733.29 0.249236
2000 2.3131 2.22546 1717.54 1738.06 0.248553
2500 2.31396 2.22338 1700.58 1744.42 0.247648
3000 2.27229 2.18183 1707.82 1752.39 0.246521
3500 2.30371 2.13746 1664.25 1761.87 0.245195
4000 2.26422 2.1284 1662.64 1772.81 0.243682
4500 2.21626 2.03422 1664.37 1785.15 0.241998
5000 2.19679 1.96325 1645.92 1798.63 0.240184
5500 2.20911 2.01151 1604.51 1813.05 0.238274
6000 2.16395 1.93581 1598.71 1828.31 0.236286
6500 2.15011 1.93976 1572.13 1844.14 0.234258
7000 2.10393 1.83457 1566.5 1860.3 0.232222
7500 2.08492 1.79232 1543.39 1876.56 0.23021
8000 2.07956 1.78743 1511.99 1892.69 0.228248
8500 2.04334 1.75036 1501.54 1908.52 0.226354
9000 1.97979 1.73994 1509.92 1923.94 0.224541
9500 1.97829 1.69455 1479.69 1938.82 0.222817
10000 1.94358 1.64932 1472.86 1953.08 0.22119
10500 1.93905 1.61182 1448.17 1966.66 0.219662
11000 1.94313 1.56133 1419.57 1979.59 0.218228
11500 1.9486 1.51498 1391.67 1991.87 0.216883
12000 1.91353 1.53217 1390.88 2003.54 0.215618
12500 1.88823 1.5162 1384.91 2014.72 0.214422
13000 1.85451 1.53235 1385.2 2025.49 0.213282
13500 1.82241 1.45779 1385.69 2035.92 0.212189
14000 1.81969 1.50245 1367.55 2046.02 0.211143
14500 1.80848 1.47003 1355.72 2055.85 0.210132
15000 1.7933 1.45254 1347.29 2065.43 0.209158
15500 1.77549 1.41746 1341.21 2074.76 0.208217
16000 1.80726 1.33623 1303.88 2083.81 0.207313
16500 1.7654 1.30246 1315.52 2092.49 0.206453
17000 1.7579 1.36405 1305.12 2100.74 0.205642
17500 1.73825 1.31865 1303.04 2108.7 0.204866
18000 1.72538 1.34458 1297.03 2116.34 0.204126
18500 1.73475 1.33263 1277.3 2123.68 0.203421
19000 1.70309 1.31103 1284.36 2130.73 0.202747
19500 1.71274 1.27583 1265.43 2137.5 0.202106
20000 1.6883 1.29663 1268.81 2143.96 0.201496
20500 1.67527 1.30562 1265.06 2150.15 0.200916
21000 1.66145 1.30188 1262.35 2156.04 0.200367
21500 1.64873 1.25162 1259.57 2161.63 0.199849
22000 1.62295 1.23414 1265.88 2166.84 0.199369
22500 1.63576 1.23128 1247.57 2171.66 0.198926
23000 1.63553 1.23673 1238.03 2176.09 0.198521
23500 1.64545 1.22404 1222.32 2180.19 0.198148
24000 1.61951 1.2095 1230.24 2183.93 0.197808
24500 1.63536 1.19253 1211.68 2187.29 0.197505
25000 1.59386 1.22125 1230.54 2190.27 0.197236
25500 1.55294 1.19787 1249.68 2192.9 0.197
26000 1.56566 1.17931 1234.58 2195.16 0.196796
26500 1.57071 1.25524 1224.41 2197.02 0.19663
27000 1.5784 1.17718 1213.29 2198.57 0.196491
27500 1.54413 1.18289 1229.8 2199.77 0.196384
28000 1.57389 1.20302 1204.81 2200.61 0.196309
28500 1.60002 1.19157 1182.69 2201.12 0.196264
29000 1.57679 1.15923 1192.98 2201.31 0.196247
29500 1.56612 1.21673 1195.3 2201.15 0.196261
30000 1.58111 1.17334 1181.56 2200.67 0.196304
30500 1.59375 1.15047 1169.74 2199.85 0.196377
31000 1.59594 1.18203 1164.76 2198.67 0.196482
31500 1.57646 1.16826 1174.52 2197.2 0.196614
32000 1.54511 1.14731 1192.29 2195.44 0.196771
32500 1.5573 1.17818 1181.97 2193.36 0.196958
33000 1.55084 1.16874 1184.09 2190.96 0.197174
33500 1.55006 1.17418 1183.01 2188.28 0.197416
34000 1.54965 1.13162 1182.07 2185.32 0.197683
34500 1.55247 1.13064 1179.11 2182.06 0.197978
35000 1.52445 1.16132 1196.47 2178.5 0.198302
35500 1.51563 1.13655 1202.07 2174.69 0.198649
36000 1.53316 1.15474 1190.79 2170.65 0.199019
36500 1.49019 1.16239 1218.72 2166.38 0.199411
37000 1.50948 1.22536 1206.78 2161.93 0.199821
37500 1.47898 1.19276 1227.49 2157.42 0.200239
38000 1.50608 1.13749 1210.9 2152.78 0.200671
38500 1.517 1.19079 1204.59 2147.98 0.20112
39000 1.49127 1.22655 1222.25 2143.08 0.20158
39500 1.50141 1.18982 1217.16 2138.12 0.202046
40000 1.49792 1.20312 1220.65 2133.1 0.202522
40500 1.51198 1.19126 1212.88 2128.03 0.203005
41000 1.51449 1.1869 1212.53 2122.86 0.203499
41500 1.54207 1.24578 1196.12 2117.66 0.203999
42000 1.47065 1.2072 1244.08 2112.52 0.204495
42500 1.47393 1.23386 1243.49 2107.37 0.204995
43000 1.4863 1.25502 1237.03 2102.26 0.205493
43500 1.44808 1.23058 1263.52 2097.27 0.205982
44000 1.4843 1.2619 1241.28 2092.38 0.206463
44500 1.47409 1.30014 1249.32 2087.61 0.206935
45000 1.45543 1.32192 1262.63 2083.03 0.20739
45500 1.48213 1.26062 1246.47 2078.68 0.207825
46000 1.4808 1.31537 1247.88 2074.48 0.208245
46500 1.46302 1.30851 1259.86 2070.52 0.208643
47000 1.42421 1.29636 1285.35 2066.73 0.209026
47500 1.41133 1.27335 1293.86 2063.08 0.209396
48000 1.44675 1.30644 1270.69 2059.54 0.209756
48500 1.46131 1.35231 1260.82 2056.17 0.2101
49000 1.44973 1.3193 1267.94 2053.03 0.210421
49500 1.40508 1.26943 1296.37 2050.04 0.210727
50000 1.43279 1.32143 1277.3 2047.17 0.211023
