# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.31151 2.20532 1743.42 1728.12 0.249983
1000 2.35932 2.17433 1710.84 1728.69 0.2499
1500 2.36218 2.16608 1705.59 1729.76 0.249746
2000 2.34259 2.2338 1712.97 1731.35 0.249516
2500 2.34327 2.21083 1705.67 1733.51 0.249205
3000 2.34342 2.20304 1696.77 1736.27 0.24881
3500 2.29466 2.19107 1718.17 1739.55 0.248341
4000 2.29057 2.17205 1709.19 1743.3 0.247806
4500 2.26626 2.17217 1711.73 1747.52 0.247207
5000 2.28623 2.09743 1684.44 1752.2 0.246547
5500 2.25171 2.16541 1691.03 1757.28 0.245834
6000 2.20223 2.17996 1705.73 1762.82 0.245062
6500 2.19937 2.06107 1690.04 1768.78 0.244237
7000 2.20869 2.04305 1665.61 1774.97 0.243385
7500 2.18851 2.05242 1659.27 1781.38 0.242509
8000 2.15915 2.00328 1658.92 1787.98 0.241613
8500 2.15546 2.00248 1641.34 1794.76 0.240702
9000 2.195 1.94077 1595.62 1801.63 0.239783
9500 2.14273 1.94258 1608.84 1808.58 0.238861
10000 2.13045 1.9443 1596.97 1815.52 0.237949
10500 2.09887 1.86405 1598.54 1822.32 0.23706
11000 2.07555 1.91993 1594.35 1828.98 0.236198
11500 2.06661 1.90791 1581.52 1835.52 0.235356
12000 2.04178 1.89513 1579.13 1841.95 0.234535
12500 2.05111 1.82283 1555.69 1848.18 0.233743
13000 2.02253 1.80753 1557.71 1854.15 0.232991
13500 2.02836 1.83464 1537.98 1859.79 0.232284
14000 1.9828 1.80528 1552.51 1865.14 0.231618
14500 1.9612 1.81663 1552.29 1870.12 0.231001
15000 1.98883 1.77271 1521.19 1874.73 0.230433
15500 1.99895 1.70478 1502.22 1878.96 0.229915
16000 1.97438 1.71589 1506.8 1882.69 0.229459
16500 1.95683 1.74905 1507.43 1885.92 0.229066
17000 1.95918 1.69081 1496.56 1888.69 0.22873
17500 1.89944 1.73258 1526.41 1891 0.228451
18000 1.8755 1.73658 1534 1892.86 0.228226
18500 1.94127 1.69996 1484.24 1894.32 0.22805
19000 1.91978 1.72567 1491.39 1895.38 0.227923
19500 1.88184 1.72421 1510.02 1896.01 0.227847
20000 1.89557 1.69183 1496.2 1896.22 0.227822
20500 1.87322 1.62664 1506.25 1896.03 0.227844
21000 1.92526 1.69398 1468.59 1895.33 0.227929
21500 1.90128 1.74315 1480.73 1894.22 0.228063
22000 1.96208 1.65178 1438.78 1892.75 0.228239
22500 1.91364 1.68518 1467.89 1890.9 0.228463
23000 1.86486 1.71835 1497.98 1888.7 0.228728
23500 1.88156 1.73199 1486.04 1886.2 0.229032
24000 1.82704 1.72635 1520.88 1883.42 0.22937
24500 1.86009 1.75454 1499.2 1880.36 0.229744
25000 1.87959 1.7012 1487.02 1877.04 0.230149
