# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.50569 2.32157 1747.13 1728.22 0.249969
1000 2.54103 2.38117 1720.95 1729.35 0.249805
1500 2.49076 2.23773 1748.09 1731.58 0.249483
2000 2.49608 2.23268 1736.26 1734.83 0.249016
2500 2.49314 2.29356 1726.93 1739.09 0.248406
3000 2.478 2.18609 1723.42 1744.39 0.247651
3500 2.44163 2.1562 1731.48 1750.65 0.246766
4000 2.45217 2.16366 1706.78 1757.83 0.245759
4500 2.42116 2.18247 1706.44 1765.93 0.24463
5000 2.43693 2.15153 1673.72 1774.96 0.243386
5500 2.36009 2.08509 1699.65 1784.85 0.242038
6000 2.34988 2.08853 1680.73 1795.48 0.240605
6500 2.31231 2.07532 1677.76 1806.81 0.239097
7000 2.31939 2.05507 1645.29 1818.73 0.237529
7500 2.31949 2.02617 1615.97 1831.15 0.235918
8000 2.29487 2.03561 1601.46 1843.99 0.234276
8500 2.28841 1.89041 1575.99 1857.13 0.232618
9000 2.22494 1.90129 1587.36 1870.37 0.230972
9500 2.20235 1.79938 1572.95 1883.6 0.229349
10000 2.2062 1.86365 1541.9 1896.68 0.227768
10500 2.18206 1.78949 1529.62 1909.53 0.226234
11000 2.14836 1.70576 1524.98 1922.08 0.224758
11500 2.13779 1.71735 1506.15 1934.23 0.223345
12000 2.08698 1.67123 1514.57 1945.99 0.221996
12500 2.07529 1.72483 1497.68 1957.33 0.220709
13000 2.09778 1.66896 1460.24 1968.3 0.219479
13500 2.06194 1.68996 1460.78 1978.91 0.218303
14000 2.00575 1.65877 1475.5 1989.2 0.217173
14500 2.0004 1.64729 1458.15 1999.18 0.216089
15000 2.04115 1.59921 1411.63 2008.89 0.215045
15500 2.01217 1.56855 1411.1 2018.34 0.214038
16000 1.93115 1.53434 1445.16 2027.54 0.213067
16500 1.95501 1.49696 1412.15 2036.47 0.212132
17000 1.95306 1.49541 1396.49 2045.15 0.211232
17500 1.9363 1.48493 1390.65 2053.6 0.210363
18000 1.91891 1.4976 1386.02 2061.84 0.209522
18500 1.90666 1.47847 1378.14 2069.91 0.208705
19000 1.90964 1.4876 1360.99 2077.83 0.207909
19500 1.87347 1.44766 1369.5 2085.62 0.207133
20000 1.9162 1.42483 1327.46 2093.26 0.206377
20500 1.88718 1.42496 1332.01 2100.76 0.205641
21000 1.89769 1.38154 1311.63 2108.1 0.204924
21500 1.87283 1.34876 1314.92 2115.23 0.204233
22000 1.85085 1.3869 1316.15 2122.17 0.203566
22500 1.81516 1.39656 1326.64 2128.94 0.202918
23000 1.81973 1.3711 1311.57 2135.54 0.202291
23500 1.81431 1.31456 1303.42 2141.97 0.201683
24000 1.83142 1.29881 1281.02 2148.2 0.201099
24500 1.81142 1.31666 1282.84 2154.19 0.200539
25000 1.7979 1.30648 1280.87 2159.99 0.200001
25500 1.79374 1.3165 1273.05 2165.57 0.199486
26000 1.77578 1.32903 1274.32 2170.97 0.198989
26500 1.74106 1.31393 1286.92 2176.18 0.198513
27000 1.79622 1.29782 1241.64 2181.2 0.198056
27500 1.77516 1.22793 1246.04 2186.02 0.197619
28000 1.7547 1.23258 1250.36 2190.58 0.197208
28500 1.74331 1.28051 1249 2194.87 0.196822
29000 1.7258 1.26903 1251.94 2198.96 0.196457
29500 1.72002 1.216 1247.9 2202.82 0.196112
30000 1.68793 1.24923 1260.91 2206.42 0.195792
30500 1.72458 1.2036 1229.95 2209.78 0.195494
31000 1.69777 1.2257 1240.14 2212.87 0.195222
31500 1.72945 1.17281 1213.16 2215.69 0.194973
32000 1.71647 1.25367 1214.79 2218.25 0.194748
32500 1.6918 1.21605 1224.46 2220.62 0.19454
33000 1.70951 1.20447 1207.11 2222.76 0.194353
33500 1.68883 1.21784 1214.74 2224.64 0.194189
34000 1.68075 1.20627 1214.56 2226.31 0.194043
34500 1.6752 1.21567 1212.95 2227.8 0.193914
35000 1.63867 1.18282 1231.74 2229.07 0.193803
35500 1.6196 1.2448 1239.27 2230.12 0.193712
36000 1.66046 1.1989 1208.48 2230.98 0.193637
36500 1.67056 1.1866 1197.55 2231.64 0.19358
37000 1.66835 1.15616 1195.01 2232.08 0.193542
37500 1.67596 1.16864 1186.19 2232.29 0.193523
38000 1.6382 1.17032 1207.14 2232.28 0.193524
38500 1.66367 1.22093 1187.09 2232.05 0.193544
39000 1.65474 1.16351 1189.91 2231.64 0.193579
39500 1.64695 1.13678 1192.2 2231.02 0.193634
40000 1.64085 1.19332 1193.32 2230.17 0.193707
40500 1.65975 1.19661 1178.72 2229.15 0.193796
41000 1.60611 1.15393 1211.4 2227.99 0.193897
41500 1.64227 1.17533 1185.77 2226.66 0.194012
42000 1.5906 1.19056 1217.42 2225.16 0.194143
42500 1.62282 1.17509 1194.94 2223.49 0.194289
43000 1.59954 1.18225 1208.56 2221.65 0.19445
43500 1.59865 1.1888 1207.87 2219.68 0.194623
44000 1.61317 1.20547 1197.39 2217.58 0.194807
44500 1.58586 1.18764 1214.18 2215.37 0.195001
45000 1.59444 1.20868 1207.66 2213.07 0.195204
45500 1.59333 1.20026 1207.64 2210.67 0.195416
46000 1.607 1.1884 1198.15 2208.17 0.195637
46500 1.62566 1.17145 1185.48 2205.54 0.195871
47000 1.61033 1.22349 1194.86 2202.79 0.196115
47500 1.55702 1.19058 1229.3 2199.96 0.196367
48000 1.56942 1.2052 1221.18 2197.03 0.196629
48500 1.5751 1.20696 1217.55 2194.04 0.196897
49000 1.58514 1.21077 1211.16 2191 0.19717
49500 1.56945 1.2505 1221.4 2187.93 0.197447
50000 1.55094 1.21504 1233.7 2184.83 0.197727
50500 1.56928 1.17952 1222.08 2181.67 0.198014
51000 1.55543 1.1963 1231.26 2178.44 0.198307
51500 1.57396 1.22981 1219.52 2175.15 0.198607
52000 1.55967 1.18528 1229.31 2171.81 0.198912
52500 1.56694 1.20382 1225.05 2168.4 0.199225
53000 1.54241 1.19671 1241.52 2164.93 0.199545
53500 1.57554 1.23328 1220.63 2161.41 0.199869
54000 1.62602 1.22488 1188.55 2157.9 0.200195
54500 1.58998 1.22906 1212.47 2154.38 0.200521
55000 1.62351 1.17705 1191.45 2150.86 0.20085
55500 1.55409 1.20439 1236.9 2147.29 0.201183
56000 1.57702 1.21584 1222.81 2143.67 0.201523
56500 1.56631 1.25418 1230.37 2140.06 0.201864
57000 1.59223 1.23472 1214.34 2136.47 0.202203
57500 1.54566 1.26424 1245.23 2132.91 0.20254
58000 1.56548 1.23988 1233.24 2129.39 0.202875
58500 1.5316 1.21745 1255.9 2125.9 0.203208
59000 1.56469 1.25546 1234.95 2122.4 0.203543
59500 1.54001 1.25759 1251.51 2118.91 0.203878
60000 1.56286 1.3119 1237.25 2115.46 0.204211
60500 1.50927 1.26191 1272.9 2112.11 0.204535
61000 1.49661 1.29253 1281.58 2108.84 0.204852
61500 1.52696 1.28434 1262.52 2105.63 0.205164
62000 1.53981 1.23855 1254.64 2102.52 0.205468
62500 1.57269 1.3088 1233.2 2099.46 0.205768
63000 1.551 1.27985 1247.6 2096.48 0.206059
63500 1.53439 1.24974 1258.48 2093.59 0.206344
64000 1.5147 1.29897 1271.14 2090.74 0.206625
64500 1.55994 1.28738 1241.84 2087.98 0.206899
65000 1.52463 1.31026 1264.44 2085.3 0.207164
65500 1.54639 1.30198 1250.05 2082.73 0.20742
66000 1.55063 1.27951 1246.86 2080.22 0.207671
66500 1.53765 1.29228 1254.72 2077.76 0.207916
67000 1.51509 1.2774 1268.85 2075.41 0.208152
67500 1.53603 1.29641 1254.38 2073.12 0.208382
68000 1.4924 1.34154 1281.86 2070.9 0.208605
68500 1.53185 1.30876 1255.56 2068.79 0.208817
69000 1.4968 1.35224 1277.12 2066.79 0.20902
69500 1.52249 1.31609 1259.55 2064.88 0.209213
70000 1.5096 1.33815 1266.63 2063.09 0.209395
70500 1.51003 1.3011 1265.05 2061.39 0.209567
71000 1.46053 1.34355 1295.5 2059.75 0.209734
71500 1.50472 1.32904 1265.47 2058.21 0.209891
72000 1.51609 1.28224 1256.51 2056.75 0.21004
72500 1.49075 1.26922 1271.05 2055.33 0.210185
73000 1.49166 1.30261 1268.56 2053.93 0.210328
73500 1.47921 1.29528 1274.88 2052.57 0.210467
74000 1.48488 1.2619 1269.4 2051.24 0.210604
74500 1.4925 1.32709 1262.33 2049.92 0.21074
75000 1.5046 1.28482 1252.72 2048.65 0.210871
75500 1.49088 1.30865 1259.56 2047.4 0.210999
76000 1.50502 1.31209 1248.36 2046.21 0.211122
76500 1.46292 1.27392 1273.57 2045.08 0.211238
77000 1.48906 1.29642 1254.4 2043.98 0.211353
77500 1.48583 1.28674 1254.33 2042.89 0.211465
78000 1.46938 1.32218 1262.67 2041.81 0.211577
78500 1.46367 1.33028 1264.06 2040.75 0.211687
79000 1.46486 1.28661 1261.14 2039.76 0.211789
79500 1.48858 1.25885 1243.53 2038.79 0.21189
80000 1.41704 1.31745 1287.44 2037.79 0.211994
80500 1.42725 1.33936 1278.61 2036.83 0.212094
81000 1.39955 1.27425 1294.57 2035.93 0.212188
81500 1.44194 1.31019 1264.56 2035.05 0.21228
82000 1.4503 1.30537 1256.69 2034.22 0.212367
82500 1.43288 1.29492 1265.53 2033.41 0.212451
83000 1.42803 1.24793 1266.37 2032.61 0.212535
83500 1.43204 1.24787 1261.37 2031.78 0.212621
84000 1.43429 1.29941 1257.42 2030.96 0.212708
84500 1.4709 1.28086 1231.34 2030.16 0.212791
85000 1.41797 1.33274 1262.96 2029.39 0.212872
85500 1.42859 1.31855 1253.6 2028.68 0.212946
86000 1.40092 1.29321 1269.11 2028.02 0.213015
86500 1.37429 1.31659 1283.68 2027.41 0.21308
87000 1.38647 1.33226 1273.11 2026.83 0.213141
87500 1.40126 1.28292 1261.02 2026.29 0.213197
88000 1.39075 1.30635 1265.1 2025.76 0.213253
88500 1.35107 1.31277 1288 2025.24 0.213308
89000 1.39842 1.30891 1254.72 2024.73 0.213362
89500 1.42573 1.32278 1234.17 2024.24 0.213414
90000 1.42067 1.28533 1234.63 2023.78 0.213461
90500 1.37512 1.27057 1261.4 2023.36 0.213506
91000 1.35823 1.27489 1269.64 2022.91 0.213553
91500 1.42837 1.31431 1221.31 2022.44 0.213603
92000 1.375 1.28308 1253.15 2021.99 0.213651
92500 1.35539 1.26355 1263.23 2021.53 0.2137
93000 1.39247 1.27896 1236.34 2021.05 0.21375
93500 1.38238 1.28532 1240.06 2020.56 0.213802
94000 1.3459 1.26162 1261.13 2020.06 0.213855
94500 1.36949 1.28279 1243.13 2019.51 0.213914
95000 1.34707 1.25509 1255.18 2018.93 0.213975
95500 1.39048 1.28799 1224.37 2018.31 0.21404
96000 1.34759 1.27751 1249.68 2017.68 0.214107
96500 1.33101 1.24312 1258.2 2017.02 0.214177
97000 1.32892 1.23302 1257.16 2016.32 0.214251
97500 1.34977 1.2842 1241.15 2015.56 0.214332
98000 1.33822 1.2323 1246.57 2014.77 0.214417
98500 1.34008 1.25803 1243.09 2013.91 0.214508
99000 1.37151 1.27513 1220.53 2013.01 0.214604
99500 1.32242 1.26706 1250.24 2012.1 0.214701
100000 1.39079 1.27342 1203.77 2011.14 0.214803
100500 1.33492 1.22871 1238.2 2010.15 0.21491
101000 1.35663 1.34961 1221.7 2009.13 0.215018
101500 1.35819 1.33431 1218.64 2008.18 0.215121
102000 1.33365 1.25578 1232.54 2007.26 0.215219
102500 1.33786 1.303 1227.64 2006.33 0.215319
103000 1.32036 1.28115 1237.02 2005.42 0.215416
103500 1.30485 1.30703 1244.97 2004.51 0.215514
104000 1.31611 1.22694 1235.88 2003.59 0.215613
104500 1.30673 1.26591 1239.85 2002.6 0.215719
105000 1.33871 1.23828 1217.27 2001.57 0.215831
105500 1.31189 1.24901 1232.75 2000.51 0.215945
106000 1.30972 1.25687 1232.27 1999.41 0.216064
106500 1.28524 1.28633 1246.43 1998.28 0.216185
107000 1.29801 1.30615 1236.39 1997.16 0.216307
107500 1.30299 1.2893 1231.36 1996.05 0.216428
108000 1.29952 1.25941 1232.11 1994.91 0.216551
108500 1.28948 1.26401 1236.99 1993.75 0.216678
109000 1.2699 1.29812 1247.84 1992.57 0.216805
109500 1.28863 1.28684 1234.08 1991.42 0.216931
110000 1.28824 1.30239 1232.69 1990.28 0.217055
110500 1.28184 1.30032 1235.18 1989.16 0.217177
111000 1.27515 1.29748 1237.92 1988.06 0.217297
111500 1.29312 1.3459 1224.36 1986.98 0.217415
112000 1.26121 1.24054 1243.62 1985.95 0.217528
112500 1.28406 1.32151 1226.76 1984.9 0.217643
113000 1.27868 1.27615 1228.63 1983.89 0.217754
113500 1.26008 1.28482 1238.84 1982.88 0.217865
114000 1.23588 1.23509 1252.98 1981.85 0.217978
114500 1.24075 1.27128 1248.07 1980.77 0.218097
115000 1.28699 1.28281 1216.4 1979.66 0.21822
115500 1.24369 1.27348 1242.92 1978.55 0.218342
116000 1.21341 1.28496 1260.96 1977.45 0.218463
116500 1.224 1.28502 1252.53 1976.35 0.218585
117000 1.25309 1.33863 1231.88 1975.24 0.218708
117500 1.25171 1.26097 1231.45 1974.16 0.218827
118000 1.22348 1.29375 1248 1973.1 0.218945
118500 1.24815 1.30805 1230.38 1972.05 0.219062
119000 1.27364 1.30126 1212.11 1971.02 0.219176
119500 1.23774 1.29208 1233.78 1970.02 0.219287
120000 1.25885 1.22833 1218.55 1969.02 0.219398
120500 1.26769 1.29487 1210.8 1967.98 0.219514
121000 1.24816 1.26144 1221.9 1966.93 0.219631
121500 1.24324 1.26548 1223.4 1965.87 0.21975
122000 1.2145 1.27028 1240.45 1964.79 0.219871
122500 1.26894 1.30058 1203.46 1963.69 0.219994
123000 1.26092 1.25945 1207.18 1962.59 0.220118
123500 1.25066 1.2576 1212.32 1961.46 0.220244
124000 1.23452 1.32609 1220.91 1960.33 0.220371
124500 1.21819 1.26447 1230.22 1959.21 0.220498
125000 1.20956 1.27747 1234.31 1958.08 0.220624
125500 1.2125 1.33077 1230.7 1956.96 0.220751
126000 1.18697 1.33001 1245.86 1955.87 0.220873
126500 1.20839 1.30845 1230.65 1954.83 0.220991
127000 1.20917 1.26596 1228.59 1953.81 0.221106
127500 1.21771 1.30683 1221.28 1952.79 0.221222
128000 1.1885 1.30293 1238.63 1951.8 0.221334
128500 1.19355 1.27696 1233.92 1950.82 0.221446
129000 1.20917 1.34472 1221.98 1949.84 0.221557
129500 1.14908 1.30423 1259.48 1948.91 0.221662
130000 1.1572 1.31733 1252.58 1948.03 0.221762
130500 1.18308 1.30193 1234.16 1947.17 0.221861
131000 1.18678 1.31135 1229.89 1946.34 0.221955
