# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.71498 2.51674 1805.49 1728.19 0.249973
1000 2.72781 2.39173 1795.05 1729.13 0.249837
1500 2.74743 2.41983 1777.61 1730.87 0.249585
2000 2.73898 2.4146 1776.34 1733.42 0.249218
2500 2.70475 2.46394 1789.23 1736.78 0.248736
3000 2.6977 2.34484 1783.17 1740.95 0.248141
3500 2.7027 2.39094 1766.52 1745.92 0.247434
4000 2.7042 2.37123 1750.31 1751.69 0.246619
4500 2.71329 2.29419 1727.86 1758.22 0.245703
5000 2.6663 2.26174 1740.25 1765.48 0.244694
5500 2.69447 2.25821 1701.58 1773.43 0.243597
6000 2.66325 2.27538 1699.49 1782.08 0.242414
6500 2.60322 2.19974 1715.31 1791.39 0.241155
7000 2.61675 2.15499 1682.61 1801.27 0.239831
7500 2.55987 2.1443 1694.11 1811.68 0.238454
8000 2.54015 2.19387 1680.67 1822.53 0.237033
8500 2.51727 2.09871 1668.79 1833.78 0.23558
9000 2.56504 2.03908 1610.65 1845.32 0.234107
9500 2.51082 1.9934 1618.89 1857.07 0.232625
10000 2.49849 1.96593 1600.01 1868.92 0.23115
10500 2.51299 1.98024 1563.24 1880.8 0.22969
11000 2.42968 1.98912 1589.95 1892.67 0.22825
11500 2.428 1.92847 1564.38 1904.46 0.226836
12000 2.35189 1.86121 1587.99 1916.11 0.225457
12500 2.38959 1.8205 1538.96 1927.54 0.224121
13000 2.32352 1.73381 1558.04 1938.68 0.222832
13500 2.33088 1.80954 1529.91 1949.53 0.221593
14000 2.32604 1.77266 1510.14 1960.1 0.220398
14500 2.25716 1.77631 1532.37 1970.4 0.219245
15000 2.27994 1.70108 1496.64 1980.44 0.218134
15500 2.24906 1.70275 1496.08 1990.21 0.217063
16000 2.23554 1.65191 1485.09 1999.73 0.21603
16500 2.26269 1.68147 1448 2009.01 0.215032
17000 2.22711 1.69775 1451.59 2018.11 0.214062
17500 2.20135 1.64824 1449.68 2027.06 0.213117
18000 2.20018 1.63059 1432.42 2035.86 0.212195
18500 2.2029 1.51802 1413.46 2044.53 0.211296
19000 2.15798 1.58273 1425.44 2053.04 0.21042
19500 2.15966 1.5715 1407.52 2061.44 0.209563
20000 2.11831 1.52221 1418.19 2069.74 0.208723
20500 2.11881 1.54451 1401.73 2077.94 0.207899
21000 2.10776 1.52371 1393.06 2086.08 0.207088
21500 2.10182 1.49982 1381.46 2094.15 0.206289
22000 2.13469 1.45245 1345.12 2102.15 0.205504
22500 2.08048 1.42339 1365.53 2110.07 0.204732
23000 2.08096 1.48413 1350.76 2117.9 0.203976
23500 2.04335 1.4709 1360.53 2125.66 0.203231
24000 2.02771 1.43408 1356.77 2133.36 0.202498
24500 2.03081 1.42002 1341.06 2140.98 0.201777
25000 2.01447 1.42767 1338.17 2148.51 0.20107
25500 2.00377 1.40243 1331.83 2155.96 0.200375
26000 1.98 1.37783 1334.6 2163.32 0.199694
26500 2.01294 1.36046 1300.48 2170.56 0.199027
27000 1.99891 1.31871 1297.55 2177.69 0.198375
27500 1.99094 1.27614 1290.96 2184.67 0.197741
28000 2.01471 1.30994 1264.11 2191.48 0.197127
28500 1.96864 1.34632 1282.28 2198.16 0.196528
29000 1.94738 1.30432 1284.9 2204.74 0.195941
29500 1.93118 1.32557 1284.43 2211.19 0.19537
30000 1.91908 1.30153 1281.41 2217.51 0.194813
30500 1.92955 1.25811 1264.51 2223.69 0.194271
31000 1.96262 1.2952 1232.68 2229.72 0.193746
31500 1.9196 1.27125 1250.65 2235.6 0.193237
32000 1.95472 1.28164 1218.04 2241.34 0.192742
32500 1.89742 1.22966 1245.88 2246.95 0.192261
33000 1.91406 1.22886 1225.79 2252.42 0.191794
33500 1.90917 1.24862 1219.74 2257.74 0.191342
34000 1.84646 1.22705 1251.63 2262.91 0.190905
34500 1.83838 1.2342 1248.29 2267.92 0.190483
35000 1.8803 1.18842 1213 2272.79 0.190075
35500 1.82137 1.24975 1242.72 2277.49 0.189683
36000 1.83039 1.20978 1229.06 2282.05 0.189304
36500 1.80491 1.1839 1237.78 2286.46 0.188938
37000 1.79946 1.18434 1234.01 2290.72 0.188587
37500 1.81524 1.19434 1216.43 2294.82 0.18825
38000 1.78723 1.1917 1227.43 2298.77 0.187927
38500 1.83383 1.17002 1190.39 2302.56 0.187617
39000 1.78252 1.18478 1216.85 2306.19 0.187322
39500 1.80828 1.16243 1193.73 2309.68 0.187039
