# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 7.81718e-07 1.38889e-07
22 1.075 0.00867634 0.00168944
23 1.125 0.633209 0.136782
24 1.175 4.09143 1.08923
25 1.225 6.38259 2.70431
26 1.275 4.61324 3.96887
27 1.325 2.37068 4.67063
28 1.375 1.12273 5.0285
29 1.425 0.567692 5.22284
30 1.475 0.329677 5.34374
31 1.525 0.227425 5.43289
32 1.575 0.186169 5.51073
33 1.625 0.175415 5.5888
34 1.675 0.183588 5.67562
35 1.725 0.208347 5.78012
36 1.775 0.248844 5.91228
37 1.825 0.306212 6.08419
38 1.875 0.394642 6.31808
39 1.925 0.539825 6.65536
40 1.975 0.750938 7.14927
41 2.025 0.965716 7.81706
42 2.075 1.09356 8.61104
43 2.125 1.11928 9.46329
44 2.175 1.07891 10.3238
45 2.225 1.01841 11.1739
46 2.275 0.990191 12.0379
47 2.325 1.01901 12.9665
48 2.375 1.08867 14.0018
49 2.425 1.12353 15.1158
50 2.475 1.07363 16.2246
51 2.525 0.96668 17.2637
52 2.575 0.863639 18.2291
53 2.625 0.797562 19.1556
54 2.675 0.768636 20.0828
55 2.725 0.76903 21.0455
56 2.775 0.788506 22.0691
57 2.825 0.821775 23.1747
58 2.875 0.865816 24.3812
59 2.925 0.91882 25.7065
60 2.975 0.979024 27.1673
61 3.025 1.04169 28.7744
62 3.075 1.10085 30.5294
63 3.125 1.15007 32.423
64 3.175 1.18365 34.4347
65 3.225 1.19901 36.5372
66 3.275 1.19455 38.6973
67 3.325 1.17541 40.8882
68 3.375 1.15031 43.0972
69 3.425 1.12477 45.3216
70 3.475 1.10469 47.5705
71 3.525 1.08967 49.8531
72 3.575 1.07733 52.1744
73 3.625 1.06487 54.5335
74 3.675 1.0487 56.9213
75 3.725 1.03156 59.3344
76 3.775 1.01695 61.7776
77 3.825 1.0074 64.2625
78 3.875 1.00448 66.8053
79 3.925 1.00679 69.4201
80 3.975 1.01263 72.1176
81 4.025 1.02183 74.9085
82 4.075 1.03083 77.7944
83 4.125 1.03874 80.7743
84 4.175 1.04372 83.8415
85 4.225 1.04441 86.9847
86 4.275 1.04161 90.1941
87 4.325 1.035 93.4582
88 4.375 1.02475 96.765
89 4.425 1.01249 100.107
90 4.475 0.99795 103.477
91 4.525 0.984549 106.875
92 4.575 0.972701 110.308
93 4.625 0.962082 113.777
94 4.675 0.954497 117.294
95 4.725 0.949478 120.868
96 4.775 0.946142 124.505
97 4.825 0.945327 128.215
98 4.875 0.945804 132.005
99 4.925 0.94761 135.88
100 4.975 0.950731 139.847
