# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0.00234757 0.000477361
23 1.125 0.452912 0.101388
24 1.175 4.41158 1.17395
25 1.225 7.76905 3.22716
26 1.275 5.30029 4.74455
27 1.325 2.35349 5.47213
28 1.375 0.934075 5.78305
29 1.425 0.400643 5.92627
30 1.475 0.204396 6.00455
31 1.525 0.128663 6.05721
32 1.575 0.0998322 6.1008
33 1.625 0.0917965 6.14347
34 1.675 0.0973872 6.19156
35 1.725 0.114283 6.25142
36 1.775 0.142382 6.33038
37 1.825 0.188474 6.44087
38 1.875 0.277016 6.61232
39 1.925 0.492325 6.93355
40 1.975 0.89412 7.5478
41 2.025 1.26971 8.46488
42 2.075 1.35246 9.49047
43 2.125 1.22542 10.4649
44 2.175 1.05316 11.3421
45 2.225 0.911956 12.137
46 2.275 0.83883 12.9013
47 2.325 0.856011 13.716
48 2.375 0.973335 14.6826
49 2.425 1.0963 15.8177
50 2.475 1.08186 16.9847
51 2.525 0.944777 18.0453
52 2.575 0.797336 18.9761
53 2.625 0.705575 19.832
54 2.675 0.667948 20.6734
55 2.725 0.667907 21.5466
56 2.775 0.690962 22.4833
57 2.825 0.73075 23.51
58 2.875 0.786285 24.6542
59 2.925 0.861248 25.9515
60 2.975 0.959265 27.4463
61 3.025 1.06045 29.155
62 3.075 1.14652 31.0639
63 3.125 1.20743 33.1402
64 3.175 1.24238 35.3454
65 3.225 1.24795 37.6308
66 3.275 1.22384 39.9421
67 3.325 1.18398 42.2468
68 3.375 1.14264 44.5384
69 3.425 1.11047 46.8319
70 3.475 1.08925 49.1477
71 3.525 1.08085 51.5124
72 3.575 1.08237 53.948
73 3.625 1.0841 56.4563
74 3.675 1.0782 59.0202
75 3.725 1.06064 61.6115
76 3.775 1.0394 64.2195
77 3.825 1.02519 66.8605
78 3.875 1.02208 69.5627
79 3.925 1.02848 72.3525
80 3.975 1.04316 75.2547
81 4.025 1.06264 78.286
82 4.075 1.08151 81.4483
83 4.125 1.09547 84.7305
84 4.175 1.10071 88.1089
85 4.225 1.09899 91.5632
86 4.275 1.09026 95.0717
87 4.325 1.07545 98.6139
88 4.375 1.05695 102.176
89 4.425 1.03393 105.741
90 4.475 1.01052 109.304
91 4.525 0.988057 112.866
92 4.575 0.968294 116.435
93 4.625 0.95314 120.024
94 4.675 0.942182 123.65
95 4.725 0.936811 127.332
96 4.775 0.934702 131.085
97 4.825 0.934984 134.917
98 4.875 0.93689 138.838
99 4.925 0.938663 142.847
100 4.975 0.940623 146.946
