# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0.000288503 6.06019e-05
23 1.125 0.241439 0.0556285
24 1.175 4.35933 1.15045
25 1.225 9.17982 3.65648
26 1.275 5.80205 5.37223
27 1.325 2.10279 6.04371
28 1.375 0.66738 6.27319
29 1.425 0.234413 6.35976
30 1.475 0.103122 6.40056
31 1.525 0.0586617 6.42537
32 1.575 0.0432153 6.44487
33 1.625 0.0398051 6.46399
34 1.675 0.0435008 6.48618
35 1.725 0.0540721 6.51545
36 1.775 0.0728906 6.55722
37 1.825 0.105053 6.62086
38 1.875 0.176261 6.73358
39 1.925 0.419913 7.01662
40 1.975 1.0443 7.75765
41 2.025 1.62221 8.96777
42 2.075 1.58069 10.2058
43 2.125 1.27103 11.2498
44 2.175 0.999898 12.1101
45 2.225 0.815673 12.8446
46 2.275 0.728866 13.5307
47 2.325 0.734615 14.253
48 2.375 0.887467 15.1636
49 2.425 1.12616 16.3682
50 2.475 1.15748 17.658
51 2.525 0.954034 18.7644
52 2.575 0.738621 19.6552
53 2.625 0.622118 20.435
54 2.675 0.58673 21.1986
55 2.725 0.593788 22.0007
56 2.775 0.622102 22.872
57 2.825 0.665032 23.8374
58 2.875 0.726026 24.929
59 2.925 0.825695 26.214
60 2.975 0.970424 27.7763
61 3.025 1.11394 29.6305
62 3.075 1.21096 31.7132
63 3.125 1.27203 33.9727
64 3.175 1.2998 36.356
65 3.225 1.28534 38.7875
66 3.275 1.23176 41.1904
67 3.325 1.16597 43.5349
68 3.375 1.11114 45.8369
69 3.425 1.07621 48.1331
70 3.475 1.05822 50.4573
71 3.525 1.05621 52.8444
72 3.575 1.07409 55.3413
73 3.625 1.10035 57.9713
74 3.675 1.10653 60.6896
75 3.725 1.0798 63.4149
76 3.775 1.04227 66.1165
77 3.825 1.01833 68.8264
78 3.875 1.01718 71.6045
79 3.925 1.03394 74.5017
80 3.975 1.06629 77.5661
81 4.025 1.10532 80.8232
82 4.075 1.13725 84.2582
83 4.125 1.15169 87.8226
84 4.175 1.15008 91.4688
85 4.225 1.13722 95.161
86 4.275 1.118 98.8773
87 4.325 1.0941 102.6
88 4.375 1.06696 106.314
89 4.425 1.03683 110.007
90 4.475 1.00815 113.679
91 4.525 0.980477 117.33
92 4.575 0.95796 120.977
93 4.625 0.939969 124.634
94 4.675 0.929023 128.327
95 4.725 0.926068 132.088
96 4.775 0.929369 135.942
97 4.825 0.934534 139.9
98 4.875 0.938432 143.956
99 4.925 0.939258 148.1
100 4.975 0.940134 152.333
