# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 1.71252e-05 2.91667e-06
22 1.075 0.0204904 0.00385778
23 1.125 0.781161 0.16487
24 1.175 3.80128 1.01974
25 1.225 5.46465 2.35557
26 1.275 4.10965 3.4438
27 1.325 2.33801 4.11235
28 1.375 1.2449 4.49566
29 1.425 0.699834 4.72709
30 1.475 0.44174 4.88359
31 1.525 0.322171 5.00559
32 1.575 0.271148 5.11511
33 1.625 0.256072 5.22521
34 1.675 0.264827 5.3462
35 1.725 0.290629 5.48701
36 1.775 0.332402 5.65755
37 1.825 0.391508 5.86989
38 1.875 0.470671 6.13935
39 1.925 0.579516 6.4891
40 1.975 0.71878 6.94575
41 2.025 0.864813 7.52339
42 2.075 0.979413 8.21027
43 2.125 1.04304 8.97743
44 2.175 1.05734 9.79211
45 2.225 1.04972 10.6385
46 2.275 1.05357 11.5266
47 2.325 1.08339 12.4803
48 2.375 1.12093 13.5101
49 2.425 1.12219 14.5849
50 2.475 1.0695 15.6518
51 2.525 0.987168 16.6768
52 2.575 0.910407 17.6599
53 2.625 0.860324 18.6253
54 2.675 0.836451 19.6
55 2.725 0.834429 20.609
56 2.775 0.847132 21.6714
57 2.825 0.872681 22.8055
58 2.875 0.906178 24.0253
59 2.925 0.946029 25.3434
60 2.975 0.988719 26.7686
61 3.025 1.03293 28.3079
62 3.075 1.07392 29.9617
63 3.125 1.10857 31.7249
64 3.175 1.13471 33.5878
65 3.225 1.14941 35.5348
66 3.275 1.15188 37.547
67 3.325 1.14402 39.6069
68 3.375 1.13112 41.7052
69 3.425 1.11569 43.8367
70 3.475 1.09933 45.9987
71 3.525 1.08367 48.1917
72 3.575 1.06868 50.4162
73 3.625 1.05342 52.6706
74 3.675 1.03757 54.9527
75 3.725 1.02301 57.2644
76 3.775 1.01179 59.6126
77 3.825 1.00367 62.004
78 3.875 1.00066 64.451
79 3.925 1.00017 66.9603
80 3.975 1.00277 69.5407
81 4.025 1.00687 72.1972
82 4.075 1.01206 74.9342
83 4.125 1.01698 77.7524
84 4.175 1.0202 80.6485
85 4.225 1.02169 83.6188
86 4.275 1.02002 86.6548
87 4.325 1.01673 89.7521
88 4.375 1.01195 92.9066
89 4.425 1.00421 96.109
90 4.475 0.995544 99.3558
91 4.525 0.987018 102.647
92 4.575 0.979354 105.985
93 4.625 0.972976 109.375
94 4.675 0.967206 112.817
95 4.725 0.963132 116.319
96 4.775 0.960792 119.887
97 4.825 0.960371 123.528
98 4.875 0.960679 127.246
99 4.925 0.961617 131.045
100 4.975 0.96382 134.929
