# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0236468
200 0.133733
300 0.310036
400 0.536723
500 0.795341
600 1.07878
700 1.3823
800 1.6921
900 1.99926
1000 2.3134
1100 2.63876
1200 2.95559
1300 3.28902
1400 3.6303
1500 3.98653
1600 4.33932
1700 4.723
1800 5.1144
1900 5.50974
2000 5.95521
2100 6.3878
2200 6.80192
2300 7.22898
2400 7.61824
2500 7.97815
2600 8.3405
2700 8.70774
2800 9.06737
2900 9.42912
3000 9.80464
3100 10.1865
3200 10.5667
3300 10.9563
3400 11.3597
3500 11.7264
3600 12.093
3700 12.4471
3800 12.8319
3900 13.2649
4000 13.733
4100 14.1499
4200 14.5984
4300 15.0345
4400 15.3812
4500 15.7235
4600 16.0408
4700 16.3941
4800 16.8023
4900 17.1823
5000 17.5302
5100 17.887
5200 18.2503
5300 18.6054
5400 18.9581
5500 19.3504
5600 19.734
5700 20.2026
5800 20.7036
5900 21.1623
6000 21.5833
6100 22.0217
6200 22.4958
6300 22.9574
6400 23.4679
6500 24.0129
6600 24.5009
6700 24.8777
6800 25.2852
6900 25.6924
7000 26.001
7100 26.284
7200 26.6206
7300 26.9877
7400 27.3651
7500 27.7699
7600 28.2081
7700 28.6382
7800 29.0573
7900 29.5194
8000 29.9824
8100 30.4516
8200 30.9655
8300 31.4232
8400 31.8809
8500 32.3631
8600 32.876
8700 33.3493
8800 33.8023
8900 34.2349
9000 34.6798
9100 35.1529
9200 35.6549
9300 36.1264
9400 36.5848
9500 37.079
9600 37.5533
9700 38.0224
9800 38.4918
9900 38.8585
10000 39.146
10100 39.3609
10200 39.5767
10300 39.8267
10400 40.1363
10500 40.4735
10600 40.8029
10700 41.2028
10800 41.6161
10900 42.0364
11000 42.5068
11100 42.9895
11200 43.4661
11300 43.8401
11400 44.2169
11500 44.6495
11600 45.1123
11700 45.5635
11800 46.0015
11900 46.4407
12000 46.8572
12100 47.2056
12200 47.5644
12300 48.0155
12400 48.5055
12500 48.9189
12600 49.3305
12700 49.7979
12800 50.3145
12900 50.8431
13000 51.3023
13100 51.7505
13200 52.1958
13300 52.5808
13400 52.9464
13500 53.3397
13600 53.7436
13700 54.1096
13800 54.4205
13900 54.7163
14000 55.0603
14100 55.4401
14200 55.8754
14300 56.2891
14400 56.6009
14500 56.9128
14600 57.2449
14700 57.6176
14800 58.0123
14900 58.3062
15000 58.6404
15100 59.0656
15200 59.4834
15300 59.8081
15400 60.1253
15500 60.433
15600 60.7341
15700 61.0938
15800 61.4601
15900 61.8181
16000 62.1029
16100 62.3811
16200 62.609
16300 62.8566
16400 63.0599
16500 63.2382
16600 63.4981
16700 63.8063
16800 64.1952
16900 64.58
17000 64.9476
17100 65.2843
17200 65.6091
17300 65.8924
17400 66.1523
17500 66.4629
17600 66.6809
17700 66.937
17800 67.2566
17900 67.5229
18000 67.714
18100 67.9207
18200 68.1326
18300 68.3434
18400 68.5808
18500 68.8172
18600 69.0635
18700 69.3015
18800 69.5591
18900 69.8635
19000 70.1265
19100 70.3342
19200 70.5596
19300 70.7903
19400 71.0842
19500 71.4817
19600 71.7982
19700 72.1076
19800 72.3985
19900 72.6585
20000 72.9678
20100 73.2284
20200 73.5348
20300 73.8374
20400 74.1259
20500 74.4056
20600 74.6958
20700 74.9289
20800 75.1706
20900 75.3715
21000 75.5345
21100 75.6238
21200 75.7871
21300 75.9792
21400 76.1922
21500 76.4257
21600 76.6366
21700 76.804
21800 77.0414
21900 77.399
22000 77.7467
22100 78.138
22200 78.5799
22300 78.9505
22400 79.2766
22500 79.5726
22600 79.8794
22700 80.1329
22800 80.3045
22900 80.4064
23000 80.6028
23100 80.8093
23200 80.9901
23300 81.1538
23400 81.3349
23500 81.5592
23600 81.7991
23700 82.015
23800 82.262
23900 82.556
24000 82.8274
24100 83.1454
24200 83.4983
24300 83.7652
24400 84.0064
24500 84.277
24600 84.5003
24700 84.6533
24800 84.7575
24900 84.9757
25000 85.22
25100 85.4718
25200 85.6516
25300 85.7469
25400 85.8751
25500 86.0369
25600 86.2262
25700 86.4282
25800 86.6174
25900 86.9273
26000 87.2708
26100 87.5918
26200 87.7594
26300 87.8653
26400 88.0256
26500 88.1681
26600 88.3009
26700 88.4225
26800 88.5871
26900 88.7749
27000 89.022
27100 89.2012
27200 89.3503
27300 89.4542
27400 89.538
27500 89.6513
27600 89.8867
27700 90.1597
27800 90.3404
27900 90.5537
28000 90.7451
28100 91.0019
28200 91.2037
28300 91.331
28400 91.5649
28500 91.8749
28600 92.1631
28700 92.433
28800 92.7687
28900 93.0806
29000 93.3743
29100 93.7104
29200 94.0739
29300 94.4155
29400 94.7915
29500 95.2011
29600 95.465
29700 95.7281
29800 95.9646
29900 96.2345
30000 96.5465
30100 96.8305
30200 97.225
30300 97.668
30400 98.0564
30500 98.4347
30600 98.6806
30700 98.7944
30800 98.9539
30900 99.2316
31000 99.5778
31100 99.8785
31200 100.196
31300 100.504
31400 100.807
31500 101.088
31600 101.368
31700 101.669
31800 101.938
31900 102.244
32000 102.557
32100 102.839
32200 103.08
32300 103.307
32400 103.549
32500 103.811
32600 104.132
32700 104.398
32800 104.642
32900 104.982
33000 105.36
33100 105.733
33200 106.047
33300 106.317
33400 106.516
33500 106.605
33600 106.667
33700 106.681
33800 106.656
33900 106.798
34000 107.019
34100 107.082
34200 107.121
34300 107.237
34400 107.464
34500 107.69
34600 107.801
34700 107.957
34800 108.182
34900 108.295
35000 108.446
35100 108.626
35200 108.831
35300 109.035
35400 109.301
35500 109.497
35600 109.773
35700 110.196
35800 110.537
35900 110.942
36000 111.39
36100 111.692
36200 111.886
36300 112.138
36400 112.43
36500 112.748
36600 113.114
36700 113.559
36800 113.972
36900 114.178
37000 114.283
37100 114.486
37200 114.74
37300 114.987
37400 115.13
37500 115.278
37600 115.511
37700 115.605
37800 115.707
37900 115.878
38000 115.972
38100 116.088
38200 116.198
38300 116.337
38400 116.594
38500 116.669
38600 116.782
38700 116.958
38800 117.112
38900 117.257
39000 117.464
39100 117.673
39200 117.855
39300 118.063
39400 118.302
39500 118.517
39600 118.655
39700 118.729
39800 118.845
39900 119.075
40000 119.234
40100 119.321
40200 119.364
40300 119.527
40400 119.734
40500 119.896
40600 119.985
40700 120.128
40800 120.283
40900 120.498
41000 120.637
41100 120.682
41200 120.85
41300 121.05
41400 121.194
41500 121.377
41600 121.578
41700 121.741
41800 121.933
41900 122.243
42000 122.621
42100 123.001
42200 123.257
42300 123.474
42400 123.757
42500 123.993
42600 124.119
42700 124.19
42800 124.251
42900 124.41
43000 124.587
43100 124.604
43200 124.764
43300 125.018
43400 125.354
43500 125.791
43600 126.204
43700 126.45
43800 126.635
43900 126.847
44000 127.07
44100 127.308
44200 127.557
44300 127.809
44400 128.144
44500 128.386
44600 128.56
44700 128.643
44800 128.655
44900 128.714
45000 128.877
45100 129.083
45200 129.233
45300 129.376
45400 129.389
45500 129.443
45600 129.638
45700 129.84
45800 129.999
45900 130.254
46000 130.391
46100 130.513
46200 130.55
46300 130.63
46400 130.812
46500 130.985
46600 131.14
46700 131.325
46800 131.533
46900 131.744
47000 131.962
47100 132.17
47200 132.375
47300 132.627
47400 132.716
47500 132.851
47600 133.087
47700 133.31
47800 133.589
47900 133.901
48000 134.284
48100 134.574
48200 134.865
48300 135.209
48400 135.534
48500 135.923
48600 136.473
48700 137.019
48800 137.409
48900 137.694
49000 137.887
49100 137.999
49200 138.118
49300 138.366
49400 138.7
49500 138.931
49600 139.254
49700 139.66
49800 139.96
49900 140.188
50000 140.398
50100 140.712
50200 141.071
50300 141.375
50400 141.457
50500 141.504
50600 141.551
50700 141.55
50800 141.647
50900 141.925
51000 142.146
51100 142.294
51200 142.452
51300 142.646
51400 142.808
51500 142.841
51600 142.794
51700 142.838
51800 142.999
51900 143.103
52000 143.277
52100 143.374
52200 143.581
52300 143.737
52400 143.859
52500 143.999
52600 144.193
52700 144.379
52800 144.526
52900 144.69
53000 144.875
53100 145.05
53200 145.229
53300 145.386
53400 145.512
53500 145.574
53600 145.619
53700 145.749
53800 145.93
53900 146.005
54000 146.074
54100 146.136
54200 146.259
54300 146.603
54400 146.874
54500 146.97
54600 147.013
54700 147.175
54800 147.389
54900 147.59
55000 147.771
55100 148.006
55200 148.195
55300 148.335
55400 148.324
55500 148.21
55600 148.18
55700 148.138
55800 148.166
