# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0287697
200 0.160338
300 0.368193
400 0.641352
500 0.946529
600 1.2887
700 1.64387
800 2.00407
900 2.38984
1000 2.83932
1100 3.32472
1200 3.79214
1300 4.25253
1400 4.6827
1500 5.13228
1600 5.5993
1700 6.05019
1800 6.53996
1900 6.98696
2000 7.44481
2100 7.94774
2200 8.44576
2300 8.92474
2400 9.38772
2500 9.8468
2600 10.2673
2700 10.744
2800 11.2393
2900 11.7646
3000 12.2911
3100 12.812
3200 13.3289
3300 13.8223
3400 14.3247
3500 14.8583
3600 15.3908
3700 15.8988
3800 16.3606
3900 16.8072
4000 17.2611
4100 17.7392
4200 18.2174
4300 18.7069
4400 19.1442
4500 19.5403
4600 19.9194
4700 20.2858
4800 20.6958
4900 21.1515
5000 21.5882
5100 22.0526
5200 22.6048
5300 23.1767
5400 23.6882
5500 24.1654
5600 24.612
5700 25.1147
5800 25.6401
5900 26.0526
6000 26.4375
6100 26.9179
6200 27.3609
6300 27.8136
6400 28.3054
6500 28.828
6600 29.3325
6700 29.8539
6800 30.3454
6900 30.7901
7000 31.2557
7100 31.7115
7200 32.1303
7300 32.5798
7400 33.0185
7500 33.481
7600 33.9184
7700 34.2937
7800 34.6281
7900 34.9383
8000 35.2767
8100 35.672
8200 36.0652
8300 36.3931
8400 36.765
8500 37.1858
8600 37.6607
8700 38.1027
8800 38.5596
8900 39.0075
9000 39.3802
9100 39.7877
9200 40.2064
9300 40.5966
9400 41.0175
9500 41.4078
9600 41.7995
9700 42.159
9800 42.504
9900 42.8388
10000 43.2981
10100 43.9199
10200 44.4833
10300 44.972
10400 45.5549
10500 46.1148
10600 46.6101
10700 47.183
10800 47.7894
10900 48.4086
11000 48.9851
11100 49.552
11200 50.1402
11300 50.7165
11400 51.2976
11500 51.8664
11600 52.4233
11700 52.9687
11800 53.483
11900 54.0483
12000 54.5388
12100 54.9401
12200 55.3902
12300 55.9108
12400 56.4122
12500 56.9537
12600 57.5047
12700 57.9854
12800 58.414
12900 58.84
13000 59.2969
13100 59.7268
13200 60.1168
13300 60.5735
13400 61.0623
13500 61.5074
13600 62.0161
13700 62.5816
13800 63.1231
13900 63.6524
14000 64.2215
14100 64.7282
14200 65.1852
14300 65.6808
14400 66.2631
14500 66.8504
14600 67.3928
14700 67.9707
14800 68.5737
14900 69.2393
15000 69.9169
15100 70.6444
15200 71.3965
15300 72.0572
15400 72.769
15500 73.4565
15600 74.1819
15700 74.8686
15800 75.5381
15900 76.2002
16000 76.8009
16100 77.4594
16200 78.0907
16300 78.765
16400 79.4904
16500 80.2245
16600 80.9778
16700 81.6112
16800 82.1693
16900 82.7981
17000 83.4066
17100 83.8513
17200 84.2168
17300 84.6009
17400 84.8943
17500 85.3153
17600 85.9194
17700 86.5158
17800 87.1182
17900 87.7255
18000 88.3583
18100 88.9632
18200 89.587
18300 90.0802
18400 90.4853
