# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0234524
200 0.135605
300 0.317849
400 0.546428
500 0.806485
600 1.11224
700 1.45126
800 1.78524
900 2.12839
1000 2.48237
1100 2.84379
1200 3.21249
1300 3.59258
1400 3.9844
1500 4.39727
1600 4.80247
1700 5.20062
1800 5.59415
1900 5.95643
2000 6.28296
2100 6.62607
2200 7.00986
2300 7.35472
2400 7.67435
2500 8.00891
2600 8.4233
2700 8.85043
2800 9.23937
2900 9.62063
3000 9.97941
3100 10.3405
3200 10.7402
3300 11.1216
3400 11.4793
3500 11.8357
3600 12.2061
3700 12.6017
3800 12.9898
3900 13.3507
4000 13.6629
4100 13.999
4200 14.3845
4300 14.7356
4400 15.091
4500 15.4455
4600 15.784
4700 16.1022
4800 16.4782
4900 16.8875
5000 17.2966
5100 17.7569
5200 18.2069
5300 18.7157
5400 19.2163
5500 19.6817
5600 20.1708
5700 20.6982
5800 21.2229
5900 21.7231
6000 22.261
6100 22.752
6200 23.1499
6300 23.6137
6400 24.1253
6500 24.593
6600 25.0366
6700 25.4884
6800 25.891
6900 26.293
7000 26.6976
7100 27.1428
7200 27.5911
7300 28.0004
7400 28.4459
7500 28.9141
7600 29.3227
7700 29.6343
7800 29.9409
7900 30.2713
8000 30.6658
8100 31.1425
8200 31.6578
8300 32.1804
8400 32.6428
8500 33.163
8600 33.6134
8700 33.9738
8800 34.3834
8900 34.8081
9000 35.1499
9100 35.5157
9200 35.8603
9300 36.2129
9400 36.5047
9500 36.7603
9600 37.0249
9700 37.3375
9800 37.682
9900 38.1067
10000 38.5418
10100 38.9514
10200 39.4138
10300 39.8991
10400 40.3943
10500 40.8837
10600 41.3599
10700 41.7929
10800 42.2286
10900 42.6462
11000 42.9449
11100 43.1705
11200 43.3875
11300 43.7109
11400 44.1026
11500 44.4602
11600 44.8098
11700 45.1839
11800 45.5527
11900 45.9537
12000 46.3567
12100 46.7303
12200 47.0973
12300 47.441
12400 47.7927
12500 48.1403
12600 48.5366
12700 48.9018
12800 49.2702
12900 49.6415
13000 50.0057
13100 50.2915
13200 50.5886
13300 50.9751
13400 51.3611
13500 51.7027
13600 52.0563
13700 52.4028
13800 52.7121
13900 52.9831
14000 53.3031
14100 53.6658
14200 54.0887
14300 54.5462
14400 55.0972
14500 55.611
14600 56.1809
14700 56.8021
14800 57.3293
14900 57.8195
15000 58.3621
15100 58.9391
15200 59.5326
15300 60.048
15400 60.5377
15500 60.9789
15600 61.3965
15700 61.7826
15800 62.2147
15900 62.6225
16000 62.9569
16100 63.3081
16200 63.6096
16300 63.9554
16400 64.3639
16500 64.8112
16600 65.2296
16700 65.6137
16800 66.0299
16900 66.4155
17000 66.7565
17100 67.0494
17200 67.3411
17300 67.6644
17400 67.9619
17500 68.1858
17600 68.3386
17700 68.6513
17800 68.9006
17900 69.1287
18000 69.361
18100 69.6553
18200 69.9841
18300 70.3762
18400 70.7865
18500 71.202
18600 71.6502
18700 72.1279
18800 72.6299
18900 73.0406
19000 73.5117
19100 74.0022
19200 74.4553
19300 74.9074
19400 75.3498
19500 75.7565
19600 76.073
19700 76.4557
19800 77.0505
19900 77.5865
20000 77.9541
20100 78.397
20200 78.9091
20300 79.3743
20400 79.7956
20500 80.23
20600 80.5901
20700 80.8826
20800 81.2455
20900 81.6477
21000 82.0011
21100 82.2666
21200 82.3735
21300 82.5224
21400 82.7993
21500 83.042
21600 83.2822
21700 83.5889
21800 83.8575
21900 84.1409
22000 84.4151
22100 84.598
22200 84.716
22300 84.8502
22400 85.083
22500 85.3877
22600 85.7275
22700 86.1377
22800 86.5895
22900 87.0174
23000 87.432
23100 87.9101
23200 88.272
23300 88.6549
23400 89.1189
23500 89.4521
23600 89.727
23700 90.0435
23800 90.3736
23900 90.7315
24000 91.064
24100 91.4503
24200 91.7961
24300 92.1837
24400 92.5426
24500 92.8972
24600 93.3722
24700 93.7876
24800 94.1607
24900 94.4718
25000 94.858
25100 95.2633
25200 95.645
25300 95.9368
25400 96.1923
25500 96.5603
25600 97.0937
25700 97.5557
25800 97.8962
25900 98.1837
26000 98.5956
26100 99.0794
26200 99.5243
26300 99.9119
26400 100.298
26500 100.686
26600 101.066
26700 101.408
26800 101.723
26900 101.941
27000 102.253
27100 102.655
27200 103.082
27300 103.534
27400 103.972
27500 104.46
27600 104.94
27700 105.387
27800 105.858
27900 106.265
28000 106.714
28100 107.149
28200 107.505
28300 107.757
28400 107.963
28500 108.15
28600 108.288
28700 108.471
28800 108.785
28900 109.186
29000 109.521
29100 109.885
29200 110.305
29300 110.704
29400 111.041
29500 111.373
29600 111.672
29700 111.997
29800 112.32
29900 112.713
30000 113.084
30100 113.487
30200 113.966
30300 114.418
30400 114.748
30500 115.007
30600 115.257
30700 115.586
30800 116.008
30900 116.341
31000 116.611
31100 116.819
31200 117.049
31300 117.285
31400 117.673
31500 117.977
31600 118.34
31700 118.771
31800 119.053
31900 119.278
32000 119.64
32100 119.981
32200 120.313
32300 120.759
32400 121.162
32500 121.449
32600 121.715
32700 121.984
32800 122.325
32900 122.557
33000 122.794
33100 123.137
33200 123.499
33300 123.745
33400 123.93
33500 124.227
33600 124.528
33700 124.646
33800 124.725
33900 125.007
34000 125.338
34100 125.693
34200 126.107
34300 126.497
34400 126.919
34500 127.427
34600 127.826
34700 128.162
34800 128.572
34900 128.923
35000 129.21
35100 129.56
35200 129.962
35300 130.276
35400 130.53
35500 130.856
35600 131.191
35700 131.574
35800 131.982
35900 132.368
36000 132.628
36100 132.838
36200 133.074
36300 133.221
36400 133.257
36500 133.391
36600 133.66
36700 134.044
36800 134.376
36900 134.717
37000 135.096
37100 135.428
37200 135.782
37300 136.182
37400 136.595
37500 137.017
37600 137.419
37700 137.924
37800 138.416
37900 138.822
38000 139.251
38100 139.825
38200 140.332
38300 140.773
38400 141.244
38500 141.632
38600 142.06
38700 142.411
38800 142.705
38900 143.011
39000 143.381
39100 143.813
39200 144.244
39300 144.567
39400 144.895
39500 145.411
39600 146.012
39700 146.523
39800 146.965
39900 147.343
40000 147.69
40100 147.94
40200 148.15
40300 148.405
40400 148.806
40500 149.114
40600 149.297
40700 149.397
40800 149.669
40900 149.976
41000 150.304
41100 150.743
41200 150.991
41300 151.108
41400 151.322
41500 151.574
41600 151.721
41700 151.842
41800 151.977
41900 152.165
42000 152.305
42100 152.375
42200 152.492
42300 152.528
42400 152.662
42500 152.772
42600 152.845
42700 152.971
42800 153.063
42900 153.141
43000 153.31
43100 153.571
43200 153.837
43300 154.1
43400 154.419
43500 154.71
43600 154.996
43700 155.274
43800 155.547
43900 155.729
44000 156.027
44100 156.425
44200 156.665
44300 156.827
44400 157.106
44500 157.404
44600 157.808
44700 158.122
44800 158.42
44900 158.781
45000 159.124
45100 159.438
45200 159.845
45300 160.311
45400 160.747
45500 161.167
45600 161.685
45700 162.256
45800 162.777
45900 163.129
46000 163.38
46100 163.772
46200 164.26
46300 164.628
46400 165.034
46500 165.39
46600 165.758
46700 166.118
46800 166.357
46900 166.636
47000 166.898
47100 167.1
47200 167.354
47300 167.493
47400 167.642
47500 167.841
47600 168.151
47700 168.441
47800 168.74
47900 168.952
48000 169.267
48100 169.532
48200 169.669
48300 169.894
48400 170.293
48500 170.666
48600 171.097
48700 171.528
48800 171.941
48900 172.428
49000 172.833
49100 173.184
49200 173.568
49300 174.009
49400 174.411
49500 174.696
49600 174.825
49700 174.995
49800 175.227
49900 175.487
50000 175.958
50100 176.247
50200 176.348
50300 176.585
50400 176.788
50500 176.978
50600 177.305
50700 177.662
50800 178.022
50900 178.336
51000 178.524
51100 178.945
51200 179.389
51300 179.596
51400 179.806
51500 180.045
51600 180.189
51700 180.374
51800 180.448
51900 180.594
52000 180.859
52100 181.125
52200 181.261
52300 181.423
52400 181.603
52500 181.876
52600 182.202
52700 182.334
52800 182.422
52900 182.694
53000 182.896
53100 182.996
53200 183.101
53300 183.24
53400 183.447
53500 183.662
53600 183.803
53700 183.885
53800 184.182
53900 184.432
54000 184.61
54100 184.719
54200 184.965
54300 185.098
54400 185.258
54500 185.517
54600 185.68
54700 185.788
54800 185.884
54900 186.179
55000 186.534
55100 186.723
55200 186.857
55300 187.024
55400 187.287
55500 187.447
55600 187.702
55700 188.008
55800 188.433
55900 188.886
56000 189.416
56100 189.785
56200 190.162
56300 190.705
56400 191.149
56500 191.355
56600 191.561
56700 191.816
56800 192.187
56900 192.551
57000 192.903
57100 193.141
57200 193.592
57300 193.933
57400 194.198
57500 194.633
57600 194.987
57700 195.441
57800 196.123
57900 196.654
58000 197.006
58100 197.499
58200 197.785
58300 198.007
58400 198.35
58500 198.76
58600 199.217
58700 199.565
58800 199.903
58900 200.289
59000 200.658
59100 200.953
59200 201.231
59300 201.602
59400 202.021
59500 202.313
59600 202.583
59700 202.832
59800 203.019
59900 203.158
60000 203.234
60100 203.247
60200 203.379
60300 203.596
60400 203.73
60500 203.927
60600 204.253
60700 204.57
60800 204.676
60900 204.485
61000 204.377
61100 204.352
61200 204.323
61300 204.471
61400 204.542
61500 204.54
61600 204.569
61700 204.711
61800 204.744
61900 204.874
62000 205.219
62100 205.585
62200 205.858
62300 206.106
62400 206.307
62500 206.619
62600 206.994
62700 207.121
62800 207.218
62900 207.3
63000 207.316
63100 207.488
63200 207.766
63300 207.978
63400 208.253
63500 208.579
63600 208.998
63700 209.454
63800 209.767
63900 209.901
64000 210.019
64100 210.078
64200 210.204
64300 210.141
64400 210.355
64500 210.688
64600 210.937
64700 211.263
64800 211.718
64900 212.104
65000 212.285
65100 212.51
65200 212.841
65300 213.136
65400 213.317
65500 213.525
65600 213.865
65700 214.133
65800 214.398
65900 214.549
66000 214.808
66100 215.016
66200 215.295
66300 215.714
66400 216.005
66500 216.428
66600 217.024
66700 217.487
66800 217.809
66900 218.009
67000 218.249
67100 218.562
67200 218.81
67300 218.888
67400 219.013
67500 218.958
67600 218.988
67700 219.341
67800 219.641
67900 219.725
68000 219.897
68100 220.311
68200 220.709
68300 221.12
68400 221.446
68500 221.814
68600 222.364
68700 222.89
68800 223.359
68900 223.807
69000 224.3
69100 224.712
69200 225.053
69300 225.353
69400 225.52
69500 225.788
69600 226.229
69700 226.387
69800 226.587
69900 226.863
70000 226.93
70100 227.108
70200 227.418
70300 227.83
70400 228.25
70500 228.608
70600 228.872
70700 229.115
70800 229.24
70900 229.372
71000 229.588
71100 229.974
71200 230.323
71300 230.469
71400 230.594
71500 230.731
71600 230.9
71700 230.985
71800 231.055
71900 231.253
72000 231.503
72100 231.746
72200 231.881
72300 231.958
72400 232.057
72500 232.281
72600 232.576
72700 232.813
72800 233.024
72900 233.228
73000 233.416
73100 233.543
73200 233.666
73300 233.66
73400 233.56
73500 233.467
73600 233.503
73700 233.538
73800 233.675
73900 233.816
74000 234.054
74100 234.277
74200 234.499
74300 234.785
74400 235.124
74500 235.388
74600 235.532
74700 235.672
74800 235.774
74900 235.895
75000 236.169
75100 236.375
75200 236.559
75300 236.797
75400 237.009
75500 237.115
75600 237.351
75700 237.613
75800 237.894
75900 238.155
76000 238.368
76100 238.625
76200 238.762
76300 238.906
76400 239.081
76500 239.226
76600 239.435
76700 239.854
76800 240.281
76900 240.565
77000 240.813
77100 241.05
77200 241.276
77300 241.619
77400 241.984
77500 242.165
77600 242.347
77700 242.587
77800 242.794
77900 242.858
78000 242.952
78100 243.069
78200 243.057
78300 242.948
78400 242.9
78500 242.97
78600 243.043
78700 243.039
78800 243.056
78900 243.284
79000 243.668
79100 244.008
79200 244.196
79300 244.604
79400 245.082
79500 245.515
79600 245.95
79700 246.361
79800 246.677
79900 246.973
80000 247.2
80100 247.284
80200 247.425
80300 247.559
80400 247.564
80500 247.528
80600 247.711
80700 247.84
80800 247.85
80900 247.913
81000 248.021
81100 248.021
81200 247.984
81300 248.029
81400 248.118
81500 248.128
81600 248.228
81700 248.468
81800 248.598
81900 248.619
82000 248.735
82100 248.88
82200 248.982
82300 249.136
82400 249.237
82500 249.267
82600 249.413
82700 249.539
82800 249.751
82900 249.91
83000 250.059
83100 250.171
83200 250.167
83300 250.361
83400 250.655
83500 250.656
83600 250.608
83700 250.706
83800 250.767
83900 250.914
84000 251.27
84100 251.64
84200 251.811
84300 251.937
84400 252.344
84500 252.704
84600 252.988
84700 253.247
84800 253.531
84900 253.784
85000 254.091
85100 254.426
85200 254.552
85300 254.564
85400 254.727
85500 255.026
85600 255.3
85700 255.653
85800 256.057
85900 256.427
86000 256.894
86100 257.406
86200 257.762
86300 258.035
86400 258.133
86500 258.126
86600 258.191
86700 258.237
86800 258.136
86900 257.974
87000 257.94
87100 257.932
87200 258.041
87300 258.081
87400 258.253
87500 258.525
87600 258.718
87700 259.012
87800 259.337
87900 259.604
88000 259.906
88100 260.117
